"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"08/11/2024","32,1511","33,1828","33,2290","32,0999","","-2,77%"
"07/11/2024","33,0657","32,3429","33,4966","32,3091","","3,03%"
"06/11/2024","32,0945","32,2537","32,5237","31,5357","","-1,74%"
"05/11/2024","32,6630","32,3368","32,6997","32,2507","","1,53%"
"04/11/2024","32,1718","32,0076","32,3060","31,8784","","0,73%"
"01/11/2024","31,9393","32,2691","32,6229","31,7366","","-0,69%"
"31/10/2024","32,1619","32,2662","32,5614","32,0199","","0,04%"
"30/10/2024","32,1484","32,8352","32,9121","32,1184","","-1,62%"
"29/10/2024","32,6769","32,4660","32,9675","32,3368","","0,52%"
"28/10/2024","32,5076","32,7644","32,9367","32,3459","","-1,23%"
"25/10/2024","32,9137","32,3245","33,0003","31,8722","","1,08%"
"24/10/2024","32,5635","32,9921","33,3982","32,4197","","-0,84%"
"23/10/2024","32,8397","32,3460","33,0043","32,2906","","1,36%"
"22/10/2024","32,3993","31,9307","32,5651","31,9122","","1,49%"
"21/10/2024","31,9241","32,4045","32,7029","31,8876","","-0,75%"
"18/10/2024","32,1646","31,4262","32,1953","31,3677","","2,32%"
"17/10/2024","31,4356","31,9245","31,9768","31,3000","","-1,19%"
"16/10/2024","31,8144","31,8292","32,0246","31,6507","","0,58%"
"15/10/2024","31,6323","31,8784","31,9307","31,2016","","-0,90%"
"14/10/2024","31,9194","32,1030","32,4352","31,7818","","-1,48%"
"11/10/2024","32,3973","32,0251","32,7709","31,9912","","1,79%"
"10/10/2024","31,8281","31,3113","31,9035","31,2706","","1,80%"
"09/10/2024","31,2640","31,5167","31,6931","30,8172","","-1,18%"
"08/10/2024","31,6364","32,7350","32,7381","31,5780","","-3,39%"
"07/10/2024","32,7452","32,8295","32,9009","32,5776","","0,05%"
"04/10/2024","32,7275","32,4907","33,0439","32,4845","","0,91%"
"03/10/2024","32,4331","33,1962","33,2770","32,1892","","-2,00%"
"02/10/2024","33,0945","32,8077","33,1558","32,5839","","1,03%"
"01/10/2024","32,7564","32,3602","32,8295","32,2825","","1,28%"
"30/09/2024","32,3429","32,7020","32,8543","31,9809","","-1,21%"
"27/09/2024","32,7381","32,5529","32,8854","32,3664","","1,37%"
"26/09/2024","32,2963","31,4433","32,3664","31,2941","","2,94%"
"25/09/2024","31,3743","31,7541","31,8349","31,0735","","-0,67%"
"24/09/2024","31,5853","30,8621","31,7634","30,8404","","2,41%"
"23/09/2024","30,8416","30,6446","30,8994","30,3835","","0,32%"
"20/09/2024","30,7436","31,3905","31,5863","30,6601","","-2,25%"
"19/09/2024","31,4498","31,1387","31,7883","31,1201","","0,06%"
"18/09/2024","31,4295","30,9181","31,4961","30,8031","","0,52%"
"17/09/2024","31,2663","31,2724","31,4651","31,0329","","-0,19%"
"16/09/2024","31,3257","30,6104","31,5210","30,6073","","2,42%"
"13/09/2024","30,5856","29,9826","30,7067","29,9049","","2,32%"
"12/09/2024","29,8914","29,6531","30,0354","29,5661","","1,92%"
"11/09/2024","29,3286","29,0533","29,3889","28,9538","","1,46%"
"10/09/2024","28,9068","29,1248","29,3175","28,8495","","-0,59%"
"09/09/2024","29,0790","28,8450","29,2119","28,7891","","0,30%"
"06/09/2024","28,9932","29,5070","29,6315","28,9818","","-1,64%"
"05/09/2024","29,4781","29,7588","29,8769","29,3144","","-0,88%"
"04/09/2024","29,7387","29,9266","30,0136","29,4231","","-0,49%"
"03/09/2024","29,8858","30,0572","30,1411","29,7246","","-1,69%"
"30/08/2024","30,3990","30,7502","31,0393","30,3493","","-0,44%"
"29/08/2024","30,5345","30,5606","30,8497","30,4488","","-1,56%"
"28/08/2024","31,0169","31,5397","31,6329","30,8808","","-2,19%"
"27/08/2024","31,7115","31,3376","31,7602","31,1170","","0,25%"
