"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"12/11/2024","456,15","455,30","462,00","454,41","","0,00%"
"11/11/2024","456,15","467,52","470,18","454,77","","-2,69%"
"08/11/2024","468,78","477,60","477,84","465,97","","-2,28%"
"07/11/2024","479,72","479,15","482,45","469,95","","0,95%"
"06/11/2024","475,22","477,12","481,88","465,26","","-0,81%"
"05/11/2024","479,09","476,80","483,53","475,60","","0,60%"
"04/11/2024","476,23","469,51","478,20","469,25","","2,71%"
"01/11/2024","463,67","469,57","475,34","463,29","","0,40%"
"31/10/2024","461,83","459,23","469,51","455,62","","0,90%"
"30/10/2024","457,71","450,48","460,88","449,91","","2,02%"
"29/10/2024","448,64","451,87","457,39","445,78","","-0,38%"
"28/10/2024","450,35","459,42","461,07","449,46","","-6,12%"
"25/10/2024","479,72","470,65","480,29","468,30","","2,16%"
"24/10/2024","469,57","477,56","482,51","467,16","","-0,71%"
"23/10/2024","472,93","477,88","479,59","470,01","","-1,40%"
"22/10/2024","479,66","467,10","481,50","464,50","","2,30%"
"21/10/2024","468,87","460,06","470,71","460,06","","1,71%"
"18/10/2024","461,01","469,63","472,43","457,52","","-1,76%"
"17/10/2024","469,25","471,54","472,43","462,28","","0,26%"
"16/10/2024","468,05","470,65","472,55","463,48","","-0,12%"
"15/10/2024","468,62","474,45","475,72","463,42","","-4,16%"
"14/10/2024","488,98","491,26","493,80","485,30","","-1,92%"
"11/10/2024","498,56","497,54","500,78","491,96","","-0,33%"
"10/10/2024","500,21","484,73","501,60","483,84","","3,59%"
"09/10/2024","482,89","488,54","492,02","474,65","","-0,86%"
"08/10/2024","487,08","505,47","505,60","482,13","","-4,43%"
"07/10/2024","509,66","488,60","510,61","488,41","","3,77%"
"04/10/2024","491,14","488,92","498,30","487,71","","0,41%"
"03/10/2024","489,11","471,16","490,38","469,13","","4,85%"
"02/10/2024","466,46","470,97","479,72","464,56","","0,45%"
"01/10/2024","464,37","453,90","475,66","442,23","","2,45%"
"30/09/2024","453,27","452,64","459,74","449,02","","0,35%"
"27/09/2024","451,68","447,12","453,84","445,09","","0,61%"
"26/09/2024","448,96","462,47","462,47","444,52","","-2,47%"
"25/09/2024","460,31","469,06","470,14","457,96","","-1,97%"
"24/09/2024","469,57","464,18","473,44","463,35","","1,72%"
"23/09/2024","461,64","468,05","469,06","456,57","","-0,56%"
"20/09/2024","464,24","464,56","466,97","461,20","","-0,39%"
"19/09/2024","466,08","456,25","468,24","456,19","","1,46%"
"18/09/2024","459,36","458,34","461,83","451,94","","-0,23%"
"17/09/2024","460,44","456,69","463,61","452,06","","1,17%"
"16/09/2024","455,11","448,58","458,28","447,18","","1,57%"
"13/09/2024","448,07","452,45","457,33","447,23","","-0,56%"
"12/09/2024","450,60","443,18","455,71","442,95","","1,84%"
"11/09/2024","442,47","436,15","445,10","432,73","","1,97%"
"10/09/2024","433,91","451,19","451,19","430,87","","-3,64%"
"09/09/2024","450,32","450,70","452,64","442,86","","1,10%"
"06/09/2024","445,43","456,59","460,85","442,67","","-2,24%"
"05/09/2024","455,65","457,72","464,99","453,77","","-0,01%"
"04/09/2024","455,71","459,91","468,88","455,27","","-1,42%"
"03/09/2024","462,30","483,86","486,11","460,85","","-4,13%"
