"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/10/2024","17,0944","17,3516","17,3516","16,9867","","-1,48%"
"30/10/2024","17,3516","17,2474","17,4177","17,0458","","0,60%"
"29/10/2024","17,2474","17,5428","17,6749","17,2300","","-1,68%"
"28/10/2024","17,5428","17,2682","17,7687","17,1326","","1,59%"
"25/10/2024","17,2682","17,0631","17,2891","16,9901","","1,20%"
"24/10/2024","17,0631","17,5428","17,7931","17,0492","","-2,73%"
"23/10/2024","17,5428","17,3690","17,6436","17,1987","","1,00%"
"22/10/2024","17,3690","17,4976","17,7653","17,2891","","-0,73%"
"21/10/2024","17,4976","17,8869","17,8869","17,2474","","-2,18%"
"18/10/2024","17,8869","17,7375","18,0016","17,6019","","0,84%"
"17/10/2024","17,7375","17,9356","18,1372","17,6679","","-1,10%"
"16/10/2024","17,9356","17,8452","18,0433","17,7166","","0,51%"
"15/10/2024","17,8452","18,2171","18,3631","17,7548","","-2,04%"
"14/10/2024","18,2171","17,5219","18,2484","17,4177","","3,97%"
"11/10/2024","17,5219","17,7096","17,8278","17,4559","","-1,06%"
"10/10/2024","17,7096","17,3829","17,8730","17,2091","","1,88%"
"09/10/2024","17,3829","17,2543","17,5776","17,1431","","0,75%"
"08/10/2024","17,2543","17,0075","17,3030","16,9658","","1,45%"
"07/10/2024","17,0075","17,8904","17,8904","16,9310","","-4,94%"
"04/10/2024","17,8904","17,5219","17,9147","17,5185","","2,10%"
"03/10/2024","17,5219","17,8313","17,9703","17,4768","","-1,74%"
"02/10/2024","17,8313","18,3631","18,5925","17,8070","","-2,90%"
"01/10/2024","18,3631","18,7872","18,8428","18,1824","","-2,26%"
"30/09/2024","18,7872","18,7107","18,9019","18,3666","","0,41%"
"27/09/2024","18,7107","19,0409","19,0409","18,3979","","-1,73%"
"26/09/2024","19,0409","18,7072","19,1104","18,6308","","1,78%"
"25/09/2024","18,7072","18,6169","18,8497","18,3562","","0,49%"
"24/09/2024","18,6169","18,3284","18,7976","18,2623","","1,57%"
"23/09/2024","18,3284","17,4316","18,3527","17,3933","","5,14%"
"20/09/2024","17,4316","18,1893","18,1893","17,2300","","-4,17%"
"19/09/2024","18,1893","18,3805","18,3805","17,9147","","-1,04%"
"18/09/2024","18,3805","18,3874","18,6794","18,0433","","-0,04%"
"17/09/2024","18,3874","17,9738","18,5647","17,7305","","2,30%"
"16/09/2024","17,9738","18,0364","18,8845","17,9356","","-0,35%"
"13/09/2024","18,0364","17,3377","18,0989","17,3377","","4,03%"
"12/09/2024","17,3377","17,1466","17,4246","17,1326","","1,11%"
"11/09/2024","17,1466","17,1848","17,2404","16,8511","","-0,22%"
"10/09/2024","17,1848","17,0597","17,4594","17,0145","","0,73%"
"09/09/2024","17,0597","16,4062","17,1153","16,4062","","3,98%"
"06/09/2024","16,4062","16,9762","16,9762","16,3645","","-3,36%"
"05/09/2024","16,9762","16,9415","17,2752","16,8511","","0,20%"
"04/09/2024","16,9415","16,8789","17,1500","16,7607","","0,37%"
"03/09/2024","16,8789","16,9658","17,1153","16,7260","","-0,51%"
"30/08/2024","16,9658","17,2126","17,5185","16,8685","","-1,43%"
"29/08/2024","17,2126","17,8278","17,8904","16,9623","","-3,45%"
"28/08/2024","17,8278","17,7444","17,8522","17,4559","","0,47%"
"27/08/2024","17,7444","17,3551","18,0329","17,3551","","2,24%"
"26/08/2024","17,3551","17,1917","17,3690","17,0527","","0,95%"
"23/08/2024","17,1917","16,8859","17,2126","16,7260","","1,81%"
"22/08/2024","16,8859","17,3273","17,3343","16,7677","","-2,55%"
"21/08/2024","17,3273","17,2752","17,5150","16,9450","","0,30%"
"20/08/2024","17,2752","16,9867","17,5810","16,9867","","1,70%"
"19/08/2024","16,9867","16,9693","17,2508","16,7538","","0,10%"
"16/08/2024","16,9693","16,5487","16,9936","16,4479","","2,54%"
"15/08/2024","16,5487","16,3123","16,5765","16,1664","","1,45%"
"14/08/2024","16,3123","15,9230","16,4027","15,9230","","2,44%"
"13/08/2024","15,9230","16,5627","16,5627","15,8565","","-3,86%"
"12/08/2024","16,5627","16,0301","17,1125","16,0301","","3,32%"
"09/08/2024","16,0301","16,7464","16,7877","16,0025","","-4,28%"
"08/08/2024","16,7464","16,8376","17,1703","16,6181","","-0,54%"
"07/08/2024","16,8376","16,1300","16,9538","16,1232","","4,39%"
"06/08/2024","16,1300","15,4293","16,3112","15,4293","","4,54%"
