"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/10/2024","371,56","372,54","374,94","370,40","","-0,26%"
"30/10/2024","372,54","374,51","375,28","370,32","","-0,21%"
"29/10/2024","373,31","372,80","379,18","370,74","","-0,05%"
"28/10/2024","373,48","372,93","375,20","370,96","","-0,18%"
"25/10/2024","374,17","372,76","375,71","370,32","","0,44%"
"24/10/2024","372,54","371,99","376,65","370,15","","0,35%"
"23/10/2024","371,26","372,97","376,35","369,08","","-1,00%"
"22/10/2024","375,03","373,14","377,21","372,84","","0,48%"
"21/10/2024","373,23","377,76","381,53","372,29","","-0,57%"
"18/10/2024","375,37","371,69","377,64","371,64","","1,38%"
"17/10/2024","370,27","375,84","377,81","367,62","","-0,97%"
"16/10/2024","373,91","372,93","376,18","371,34","","0,69%"
"15/10/2024","371,34","375,71","377,08","370,70","","-1,55%"
"14/10/2024","377,21","379,65","382,73","375,45","","-1,95%"
"11/10/2024","384,70","380,16","384,79","378,32","","1,49%"
"10/10/2024","379,05","378,32","381,23","375,28","","0,64%"
"09/10/2024","376,65","382,00","385,51","374,47","","-1,28%"
"08/10/2024","381,53","388,38","388,51","378,75","","-2,41%"
"07/10/2024","390,95","392,28","393,22","386,58","","-0,16%"
"04/10/2024","391,59","389,67","394,37","388,59","","0,46%"
"03/10/2024","389,79","397,97","399,47","386,93","","-2,06%"
"02/10/2024","398,01","395,57","398,27","390,22","","1,31%"
"01/10/2024","392,88","390,44","395,91","388,04","","0,79%"
"30/09/2024","389,79","397,33","399,77","385,13","","-1,01%"
"27/09/2024","393,77","396,69","398,83","392,92","","-0,85%"
"26/09/2024","397,16","385,94","397,28","383,12","","3,33%"
"25/09/2024","384,36","387,57","387,95","381,23","","-0,04%"
"24/09/2024","384,53","374,64","384,83","374,17","","3,31%"
"23/09/2024","372,20","371,34","373,66","365,95","","0,10%"
"20/09/2024","371,81","372,76","375,58","369,85","","-0,09%"
"19/09/2024","372,16","364,07","375,15","363,98","","1,12%"
