"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"05/11/2024","24,7247","24,6858","24,8060","24,5373","","0,03%"
"04/11/2024","24,7176","24,9898","25,0923","24,6398","","-0,34%"
"01/11/2024","24,8024","24,6610","25,2337","24,5303","","0,86%"
"31/10/2024","24,5904","24,7141","24,7706","24,4808","","-0,50%"
"30/10/2024","24,7141","24,9580","25,0004","24,6646","","-0,91%"
"29/10/2024","24,9403","24,8236","25,1312","24,7423","","0,28%"
"28/10/2024","24,8696","24,9968","25,1099","24,7211","","-0,42%"
"25/10/2024","24,9756","25,2549","25,3256","24,9580","","-1,22%"
"24/10/2024","25,2831","25,6366","25,6437","25,1842","","-1,35%"
"23/10/2024","25,6295","25,4952","25,7108","25,3998","","0,60%"
"22/10/2024","25,4775","25,5553","25,5694","25,3503","","-0,17%"
"21/10/2024","25,5200","25,1559","25,6613","25,1559","","1,70%"
"18/10/2024","25,0923","25,1205","25,3538","25,0463","","0,33%"
"17/10/2024","25,0110","25,2160","25,2478","24,7989","","-0,70%"
"16/10/2024","25,1877","25,0110","25,4422","25,0039","","0,91%"
"15/10/2024","24,9615","25,0499","25,2301","24,9438","","-0,58%"
"14/10/2024","25,1064","25,3503","25,4281","24,9544","","-1,63%"
"11/10/2024","25,5235","25,6790","25,9795","25,3644","","-0,62%"
"10/10/2024","25,6826","25,5094","25,7002","25,3609","","0,57%"
"09/10/2024","25,5376","25,4775","25,7674","25,4528","","-0,03%"
"08/10/2024","25,5447","25,8593","25,8628","25,1559","","-1,71%"
"07/10/2024","25,9901","25,8275","26,2021","25,8275","","0,35%"
"04/10/2024","25,8982","25,6083","25,9229","25,5200","","0,74%"
"03/10/2024","25,7073","25,9759","25,9830","25,3998","","-0,91%"
"02/10/2024","25,9441","25,7250","26,0431","25,6578","","0,42%"
"01/10/2024","25,8345","25,9229","26,1527","25,7320","","-0,71%"
"30/09/2024","26,0183","25,9300","26,0572","25,7709","","1,22%"
"27/09/2024","25,7038","25,8063","26,1385","25,3362","","-0,41%"
"26/09/2024","25,8098","25,9724","26,2269","25,7780","","-0,25%"
"25/09/2024","25,8734","26,2481","26,2481","25,7603","","-1,20%"
"24/09/2024","26,1880","25,9300","26,3506","25,9264","","0,88%"
"23/09/2024","25,9583","26,1668","26,1915","25,8946","","-0,11%"
"20/09/2024","25,9865","25,8451","26,2304","25,7497","","0,67%"
"19/09/2024","25,8133","25,1524","25,9795","25,1241","","2,47%"
"18/09/2024","25,1912","25,6083","25,6507","24,8201","","-1,23%"
"17/09/2024","25,5058","25,7038","25,7992","25,2831","","-0,91%"
"16/09/2024","25,7391","24,7423","25,7391","24,7423","","4,30%"
"13/09/2024","24,6787","24,9155","25,0393","24,5585","","-0,80%"
