"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/10/2024","265,12","269,59","270,01","264,43","","-1,84%"
"30/10/2024","270,08","269,40","270,15","268,34","","0,71%"
"29/10/2024","268,18","266,60","268,52","266,02","","0,91%"
"28/10/2024","265,75","264,67","265,98","264,25","","0,05%"
"25/10/2024","265,63","264,42","265,66","263,20","","0,21%"
"24/10/2024","265,08","263,89","265,79","263,58","","0,71%"
"23/10/2024","263,20","265,46","267,34","262,52","","-1,10%"
"22/10/2024","266,13","264,44","266,34","264,43","","0,76%"
"21/10/2024","264,12","264,35","265,70","263,40","","0,33%"
"18/10/2024","263,26","262,29","263,77","262,03","","0,83%"
"17/10/2024","261,09","260,23","261,54","259,29","","0,60%"
"16/10/2024","259,53","258,84","260,54","258,61","","0,46%"
"15/10/2024","258,33","256,96","258,99","256,00","","0,50%"
"14/10/2024","257,05","256,81","258,79","256,54","","-0,40%"
"11/10/2024","258,08","255,96","258,34","255,76","","1,40%"
"10/10/2024","254,51","253,22","255,23","252,79","","0,51%"
"09/10/2024","253,23","254,44","254,84","253,02","","-0,36%"
"08/10/2024","254,13","257,14","257,65","253,02","","-1,15%"
"07/10/2024","257,09","257,04","258,36","256,26","","-0,07%"
"04/10/2024","257,26","258,28","259,41","255,72","","-0,43%"
"03/10/2024","258,36","258,31","258,64","256,53","","0,36%"
"02/10/2024","257,44","258,57","258,87","256,77","","-0,77%"
"01/10/2024","259,43","256,64","259,82","256,10","","1,16%"
"30/09/2024","256,45","257,85","258,65","255,59","","-0,33%"
"27/09/2024","257,29","259,58","260,04","257,18","","-0,99%"
"26/09/2024","259,87","258,87","261,20","258,22","","0,38%"
"25/09/2024","258,89","258,86","259,83","257,91","","0,29%"
"24/09/2024","258,15","255,92","258,42","255,28","","0,92%"
"23/09/2024","255,78","255,05","256,49","254,46","","0,24%"
"20/09/2024","255,18","252,00","255,63","251,92","","1,21%"
"19/09/2024","252,13","248,85","252,66","248,83","","0,62%"
"18/09/2024","250,59","250,59","251,41","249,96","","0,24%"
"17/09/2024","249,99","251,66","252,04","249,51","","-0,63%"
"16/09/2024","251,58","251,62","252,39","251,02","","-0,07%"
"13/09/2024","251,75","249,89","252,11","249,72","","1,17%"
"12/09/2024","248,85","245,03","249,11","244,84","","1,50%"
"11/09/2024","245,17","245,64","246,64","243,96","","-0,03%"
"10/09/2024","245,23","244,21","245,66","243,87","","0,41%"
"09/09/2024","244,23","243,66","244,40","242,50","","0,32%"
"06/09/2024","243,45","245,29","246,82","242,47","","-0,73%"
"05/09/2024","245,23","243,66","246,25","243,37","","0,68%"
"04/09/2024","243,59","243,47","244,09","241,37","","0,12%"
"03/09/2024","243,30","243,58","244,78","241,59","","-0,18%"
"30/08/2024","243,74","245,83","246,84","243,67","","-1,28%"
"29/08/2024","246,89","245,56","247,06","244,66","","0,89%"
"28/08/2024","244,72","246,12","246,25","243,81","","-0,59%"
"27/08/2024","246,18","245,38","246,41","244,81","","-0,09%"
"26/08/2024","246,40","245,77","247,10","245,33","","0,35%"
"23/08/2024","245,54","243,66","246,30","243,22","","1,18%"
"22/08/2024","242,69","245,33","245,63","241,70","","-1,21%"
"21/08/2024","245,66","246,35","246,67","244,19","","-0,12%"
"20/08/2024","245,96","244,94","247,83","244,48","","0,37%"
"19/08/2024","245,06","244,55","245,48","243,42","","0,14%"
"16/08/2024","244,72","240,61","244,81","239,97","","1,82%"
"15/08/2024","240,35","239,92","241,81","238,18","","0,51%"
"14/08/2024","239,12","241,55","242,75","238,80","","-1,12%"
"13/08/2024","241,83","241,70","242,51","240,91","","0,15%"
"12/08/2024","241,46","237,67","241,62","237,48","","1,24%"
"09/08/2024","238,51","237,84","238,79","236,85","","0,41%"
"08/08/2024","237,54","233,86","237,60","233,83","","1,27%"
"07/08/2024","234,56","233,70","235,98","233,46","","0,03%"
"06/08/2024","234,48","236,56","236,91","233,60","","-0,52%"
"05/08/2024","235,72","239,24","241,09","231,90","","-1,03%"
"02/08/2024","238,17","240,25","243,18","236,62","","-0,44%"
"01/08/2024","239,23","240,64","241,68","238,60","","0,32%"
"31/07/2024","238,47","236,62","238,59","236,22","","0,86%"
"30/07/2024","236,44","233,83","236,85","233,69","","1,09%"
"29/07/2024","233,89","235,15","235,48","232,85","","-0,10%"
"26/07/2024","234,13","233,29","234,96","232,50","","1,17%"
"25/07/2024","231,43","233,62","234,24","231,34","","-2,60%"
"24/07/2024","237,61","236,92","239,26","236,84","","0,36%"
"23/07/2024","236,76","236,28","237,35","234,98","","0,54%"
"22/07/2024","235,49","236,90","237,10","234,63","","-0,19%"
"19/07/2024","235,95","238,84","239,18","235,65","","-2,34%"
"18/07/2024","241,60","242,53","243,74","241,45","","-0,14%"
"17/07/2024","241,95","244,32","244,69","241,70","","-0,31%"
"16/07/2024","242,69","239,17","242,91","238,98","","1,59%"
"15/07/2024","238,89","237,51","240,28","236,69","","0,34%"
"12/07/2024","238,09","237,28","238,23","235,73","","-0,04%"
"11/07/2024","238,18","234,21","238,96","234,12","","1,76%"
"10/07/2024","234,05","233,53","235,36","233,39","","0,50%"
"09/07/2024","232,89","233,14","233,75","231,80","","0,18%"
"08/07/2024","232,46","235,52","235,59","231,96","","-1,43%"
"05/07/2024","235,83","232,77","235,86","232,07","","1,19%"
"03/07/2024","233,04","229,97","233,55","229,76","","1,54%"
"02/07/2024","229,50","230,50","230,73","229,03","","-0,24%"
"01/07/2024","230,05","229,97","230,99","229,02","","-0,03%"
"28/06/2024","230,11","229,28","231,16","229,20","","0,13%"
"27/06/2024","229,82","227,06","230,32","226,92","","1,01%"
"26/06/2024","227,52","228,66","229,46","226,73","","-0,76%"
"25/06/2024","229,25","229,97","231,10","228,96","","-0,58%"
"24/06/2024","230,59","229,74","230,78","229,38","","0,57%"
"21/06/2024","229,29","233,41","234,29","229,23","","-1,60%"
"20/06/2024","233,01","231,15","234,02","230,66","","0,94%"
"18/06/2024","230,83","229,90","230,89","228,29","","0,77%"
"17/06/2024","229,07","230,25","230,39","228,62","","-0,86%"
"14/06/2024","231,05","228,28","231,35","228,05","","1,34%"
"13/06/2024","227,99","229,00","230,37","227,31","","-1,56%"
"12/06/2024","231,61","229,31","231,99","228,93","","1,21%"
"11/06/2024","228,84","228,16","229,87","227,66","","-0,02%"
"10/06/2024","228,87","227,66","229,29","226,67","","0,09%"
"07/06/2024","228,68","235,08","236,69","228,27","","-2,76%"
"06/06/2024","235,16","234,73","235,83","233,34","","0,65%"
"05/06/2024","233,64","231,14","233,84","230,94","","1,20%"
"04/06/2024","230,88","232,90","233,30","229,75","","-0,92%"
"03/06/2024","233,04","231,24","233,64","229,64","","1,00%"
"31/05/2024","230,72","232,89","234,19","230,65","","-0,87%"
"30/05/2024","232,76","231,67","233,44","230,54","","0,10%"
"29/05/2024","232,52","234,06","234,49","231,93","","-0,64%"
"28/05/2024","234,02","233,87","234,84","232,45","","0,95%"
"24/05/2024","231,82","231,87","233,20","231,01","","-0,12%"
"23/05/2024","232,09","235,79","236,06","232,01","","-2,32%"
"22/05/2024","237,60","240,87","241,30","236,89","","-1,36%"
"21/05/2024","240,88","240,70","242,07","239,28","","-0,51%"
"20/05/2024","242,12","242,23","243,63","239,45","","0,87%"
"17/05/2024","240,03","236,51","240,64","236,13","","1,33%"
"16/05/2024","236,87","237,93","238,16","235,87","","-0,38%"
"15/05/2024","237,79","234,62","237,81","234,07","","1,47%"
"14/05/2024","234,33","233,11","234,56","232,58","","0,71%"
