"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/10/2024","33,4693","34,7774","34,7774","33,3565","","-4,29%"
"30/10/2024","34,9691","35,5555","35,6795","34,2136","","-0,51%"
"29/10/2024","35,1495","35,0706","35,5217","34,4504","","-0,13%"
"28/10/2024","35,1946","36,9087","37,0215","34,6308","","-6,67%"
"25/10/2024","37,7094","36,9425","37,7657","36,3110","","2,26%"
"24/10/2024","36,8749","36,3110","37,0553","35,6570","","3,38%"
"23/10/2024","35,6683","35,4540","35,7698","35,1946","","-0,03%"
"22/10/2024","35,6795","35,1834","35,9164","34,6083","","2,53%"
"21/10/2024","34,8000","34,3038","35,1270","34,2812","","1,05%"
"18/10/2024","34,4391","35,0932","35,1270","34,4053","","-1,64%"
"17/10/2024","35,0142","35,2397","35,6683","34,9014","","-0,35%"
"16/10/2024","35,1383","35,9953","36,1419","35,0368","","-2,78%"
"15/10/2024","36,1419","35,7359","36,7959","35,4540","","0,41%"
"14/10/2024","35,9953","36,8072","36,8862","35,9727","","-3,16%"
"11/10/2024","37,1681","37,9882","38,2514","36,9895","","-1,61%"
"10/10/2024","37,7767","37,6663","38,0883","37,0997","","-0,27%"
"09/10/2024","37,8798","38,4327","38,6282","37,5068","","-2,61%"
"08/10/2024","38,8957","39,0092","39,5037","38,4876","","-0,59%"
"07/10/2024","39,1254","39,8663","40,4077","38,5412","","-3,78%"
"04/10/2024","40,6642","42,1887","43,0009","40,4647","","-3,91%"
"03/10/2024","42,3169","41,8040","42,4737","41,3481","","2,91%"
"02/10/2024","41,1201","41,3338","42,7159","40,9064","","-0,35%"
"01/10/2024","41,2626","41,2341","41,8468","40,2795","","-0,92%"
"30/09/2024","41,6473","40,9206","42,0035","40,8351","","0,72%"
"27/09/2024","41,3481","38,8404","41,7185","38,7549","","5,41%"
"26/09/2024","39,2251","40,6072","41,0631","38,9401","","-2,27%"
"25/09/2024","40,1370","40,2225","41,1201","39,8378","","0,93%"
"24/09/2024","39,7665","40,8779","41,2483","39,5528","","-2,21%"
"23/09/2024","40,6642","39,2536","40,8066","39,0541","","4,97%"
"20/09/2024","38,7407","36,9312","39,0684","36,8172","","4,78%"
"19/09/2024","36,9739","36,6747","37,0024","35,6916","","1,17%"
"18/09/2024","36,5465","37,1021","37,8430","36,4752","","-1,84%"
"17/09/2024","37,2304","37,7433","38,2990","37,1449","","-0,99%"
"16/09/2024","37,6008","36,5180","37,8288","36,2900","","1,93%"
"13/09/2024","36,8884","37,6008","37,9855","36,6889","","-1,67%"
"12/09/2024","37,5153","36,7032","37,9855","36,1190","","2,17%"
"11/09/2024","36,7174","36,0905","37,0024","35,8055","","1,26%"
"10/09/2024","36,2615","35,6631","36,7317","35,5918","","0,71%"
"09/09/2024","36,0050","36,1190","36,7459","35,7771","","-2,70%"
"06/09/2024","37,0024","36,8029","37,2304","36,5180","","0,70%"
"05/09/2024","36,7459","35,6488","37,2446","35,3639","","2,91%"
"04/09/2024","35,7058","36,2187","37,2019","35,6346","","-1,73%"
"03/09/2024","36,3327","35,9623","36,4325","34,7654","","2,08%"
"30/08/2024","35,5918","36,0050","36,3755","35,3354","","-1,23%"
"29/08/2024","36,0335","36,3470","36,3470","34,9649","","0,28%"
"28/08/2024","35,9338","35,7058","36,4610","35,0931","","0,60%"
"27/08/2024","35,7201","36,1475","36,1760","35,2926","","-1,38%"
"26/08/2024","36,2187","36,6034","36,9027","36,0193","","-1,36%"
"23/08/2024","36,7174","36,9596","37,0166","36,3897","","-0,62%"
"22/08/2024","36,9454","38,5269","38,5269","36,5465","","-3,50%"
"21/08/2024","38,2847","38,5697","38,9544","37,8288","","-0,59%"
"20/08/2024","38,5127","38,8689","39,2678","38,0710","","-0,70%"
"19/08/2024","38,7834","37,4583","39,0826","37,2874","","3,46%"
"16/08/2024","37,4868","38,8404","38,9401","37,4441","","-3,70%"
"15/08/2024","38,9259","39,1396","40,1370","38,8119","","-0,62%"
"14/08/2024","39,1681","38,6694","39,9375","38,3702","","1,63%"
"13/08/2024","38,5412","39,0999","39,9143","38,4074","","-2,47%"
"12/08/2024","39,5190","39,9046","40,4145","39,0401","","1,57%"
"09/08/2024","38,9064","38,8411","39,5204","38,2565","","0,88%"
"08/08/2024","38,5668","37,9172","39,4637","36,8931","","0,95%"
"07/08/2024","38,2025","36,7735","38,3110","36,5383","","5,07%"
"06/08/2024","36,3575","35,6520","36,7373","34,4220","","3,50%"
"05/08/2024","35,1275","34,7295","35,6701","34,0602","","-1,27%"
"02/08/2024","35,5797","35,7425","36,5745","34,7476","","-0,05%"
"01/08/2024","35,5978","37,0991","38,4014","35,5435","","-3,34%"
"31/07/2024","36,8278","38,5823","38,8717","36,5926","","-4,23%"
"30/07/2024","38,4557","37,1895","38,6004","36,0319","","4,42%"
"29/07/2024","36,8278","37,9131","37,9492","36,1947","","-0,73%"
"26/07/2024","37,0991","37,8226","37,8769","37,0267","","-1,01%"
