"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/10/2024","262,55","271,19","271,71","261,30","","-3,75%"
"30/10/2024","272,79","277,11","277,15","268,79","","-1,06%"
"29/10/2024","275,72","272,99","277,95","271,27","","1,29%"
"28/10/2024","272,20","269,11","273,47","267,54","","0,66%"
"25/10/2024","270,42","270,27","273,75","266,26","","-0,05%"
"24/10/2024","270,55","272,03","275,99","267,66","","-0,13%"
"23/10/2024","270,90","277,55","280,55","269,23","","-3,43%"
"22/10/2024","280,52","272,83","280,63","272,67","","2,83%"
"21/10/2024","272,81","272,31","275,99","269,67","","2,54%"
"18/10/2024","266,06","257,26","266,86","256,06","","4,59%"
"17/10/2024","254,37","256,58","257,82","252,33","","-0,63%"
"16/10/2024","255,97","254,26","259,26","253,98","","0,69%"
"15/10/2024","254,22","250,97","255,30","247,85","","1,41%"
"14/10/2024","250,70","249,93","254,18","248,97","","-1,38%"
"11/10/2024","254,22","251,81","254,90","250,25","","1,65%"
"10/10/2024","250,09","245,57","251,37","245,29","","1,86%"
"09/10/2024","245,53","246,89","248,21","243,69","","0,23%"
"08/10/2024","244,97","255,90","256,14","243,01","","-4,39%"
"07/10/2024","256,21","259,74","260,14","253,45","","-1,20%"
"04/10/2024","259,33","259,14","265,90","254,30","","-0,22%"
"03/10/2024","259,89","256,46","259,98","253,57","","1,70%"
"02/10/2024","255,54","253,49","260,82","250,29","","0,56%"
"01/10/2024","254,11","253,17","257,26","252,33","","0,90%"
"30/09/2024","251,84","253,82","256,26","249,85","","-1,13%"
"27/09/2024","254,70","256,86","260,78","253,77","","-1,62%"
"26/09/2024","258,91","258,10","264,22","256,50","","1,01%"
"25/09/2024","256,32","259,30","260,58","255,18","","-1,27%"
"24/09/2024","259,62","249,65","260,46","248,25","","4,33%"
"23/09/2024","248,85","251,65","252,17","245,57","","-1,33%"
"20/09/2024","252,21","249,05","254,22","248,81","","0,26%"
"19/09/2024","251,56","243,37","253,17","243,37","","2,40%"
"18/09/2024","245,67","246,01","248,37","245,49","","-0,94%"
"17/09/2024","248,00","249,49","250,89","247,13","","-0,50%"
"16/09/2024","249,25","250,37","251,85","247,81","","0,20%"
"13/09/2024","248,76","242,53","250,33","241,97","","3,21%"
"12/09/2024","241,02","231,80","241,53","231,00","","4,08%"
"11/09/2024","231,58","230,44","233,76","227,36","","1,10%"
"10/09/2024","229,07","229,28","231,24","227,08","","-0,13%"
"09/09/2024","229,37","226,92","229,76","224,43","","1,66%"
"06/09/2024","225,62","232,84","235,84","224,23","","-3,15%"
"05/09/2024","232,95","229,40","236,32","228,48","","1,90%"
"04/09/2024","228,61","226,48","229,80","225,08","","0,75%"
"03/09/2024","226,91","231,16","231,64","224,92","","-2,74%"
"30/08/2024","233,30","238,60","240,17","232,92","","-2,82%"
"29/08/2024","240,08","238,20","240,85","237,00","","1,22%"
"28/08/2024","237,19","242,49","242,69","236,24","","-2,62%"
"27/08/2024","243,58","243,21","244,37","241,57","","-0,09%"
"26/08/2024","243,79","242,29","245,53","241,13","","0,65%"
"23/08/2024","242,21","236,60","242,89","235,72","","2,66%"
"22/08/2024","235,93","239,89","241,21","234,68","","-1,67%"
"21/08/2024","239,93","239,85","241,29","237,80","","0,06%"
"20/08/2024","239,79","238,88","243,81","237,60","","0,74%"
"19/08/2024","238,02","234,88","239,73","234,48","","1,60%"
"16/08/2024","234,27","230,48","234,52","228,20","","1,51%"
"15/08/2024","230,78","224,55","232,04","224,55","","3,94%"
"14/08/2024","222,03","226,48","228,08","221,27","","-1,61%"
"13/08/2024","225,66","226,69","226,77","223,48","","-0,78%"
"12/08/2024","227,44","222,17","227,91","221,80","","1,52%"
"09/08/2024","224,02","225,63","225,70","221,96","","-0,07%"
"08/08/2024","224,17","217,62","224,77","217,43","","2,46%"
"07/08/2024","218,80","220,23","222,18","218,68","","-1,00%"
"06/08/2024","221,01","222,87","223,19","217,02","","0,03%"
"05/08/2024","220,93","232,65","233,95","216,00","","-4,17%"
"02/08/2024","230,56","232,33","238,33","227,86","","-0,30%"
"01/08/2024","231,25","236,71","237,64","230,66","","-1,59%"
"31/07/2024","234,99","232,49","235,66","231,88","","1,45%"
"30/07/2024","231,64","226,03","231,92","225,67","","2,36%"
"29/07/2024","226,28","228,14","229,97","223,07","","-0,55%"
"26/07/2024","227,53","228,96","229,04","225,42","","0,16%"
"25/07/2024","227,17","230,82","230,99","223,92","","-4,57%"
"24/07/2024","238,06","238,13","240,57","237,89","","-0,05%"
"23/07/2024","238,18","238,33","238,66","234,23","","0,03%"
"22/07/2024","238,10","238,38","238,74","235,01","","0,08%"
"19/07/2024","237,92","241,01","242,56","236,02","","-3,06%"
"18/07/2024","245,43","248,36","250,11","244,34","","-0,50%"
"17/07/2024","246,67","256,12","256,73","245,85","","-3,44%"
"16/07/2024","255,45","251,49","256,89","249,58","","1,69%"
"15/07/2024","251,21","252,59","254,33","249,87","","-0,73%"
"12/07/2024","253,05","255,63","256,44","248,77","","-1,61%"
"11/07/2024","257,18","253,40","259,85","252,91","","2,12%"
"10/07/2024","251,85","253,15","255,31","251,29","","-0,14%"
"09/07/2024","252,19","253,07","255,23","250,11","","0,46%"
"08/07/2024","251,03","255,92","255,96","249,42","","-2,45%"
"05/07/2024","257,33","249,91","258,11","247,96","","2,75%"
"03/07/2024","250,45","242,64","251,45","241,75","","3,99%"
"02/07/2024","240,84","241,70","244,55","239,55","","0,15%"
"01/07/2024","240,47","238,86","241,87","237,64","","0,18%"
"28/06/2024","240,04","237,16","243,17","237,08","","1,04%"
"27/06/2024","237,57","236,06","240,08","235,53","","0,00%"
"26/06/2024","237,57","236,47","238,86","234,72","","0,22%"
"25/06/2024","237,06","241,70","243,73","236,95","","-2,20%"
"24/06/2024","242,39","242,44","244,26","241,50","","-0,31%"
"21/06/2024","243,14","251,04","252,14","243,00","","-3,87%"
"20/06/2024","252,94","248,12","253,07","246,90","","4,23%"
"18/06/2024","242,66","242,52","243,37","238,05","","0,59%"
"17/06/2024","241,25","241,75","243,21","238,82","","-0,27%"
"14/06/2024","241,91","238,78","242,40","237,73","","1,39%"
"13/06/2024","238,59","238,98","242,64","235,89","","-3,96%"
"12/06/2024","248,42","242,36","249,08","241,43","","3,54%"
"11/06/2024","239,94","242,09","243,32","239,28","","-2,15%"
"10/06/2024","245,20","242,76","245,69","241,80","","1,47%"
"07/06/2024","241,65","256,75","259,87","241,03","","-6,14%"
"06/06/2024","257,47","250,39","257,94","248,17","","4,30%"
"05/06/2024","246,85","244,15","247,48","242,43","","1,54%"
"04/06/2024","243,10","252,89","254,04","242,26","","-3,79%"
"03/06/2024","252,68","252,48","254,08","245,79","","1,13%"
"31/05/2024","249,86","256,59","262,13","249,61","","-3,47%"
"30/05/2024","258,84","262,13","263,03","257,12","","-2,59%"
"29/05/2024","265,72","263,85","266,73","260,98","","0,73%"
"28/05/2024","263,79","262,42","266,27","257,98","","5,37%"
"24/05/2024","250,34","251,05","252,94","249,61","","0,14%"
"23/05/2024","249,98","251,95","255,69","249,28","","-3,31%"
"22/05/2024","258,53","265,37","266,23","257,16","","-1,81%"
"21/05/2024","263,30","260,20","266,89","257,08","","-1,07%"
"20/05/2024","266,16","265,45","268,74","255,97","","3,73%"
"17/05/2024","256,58","244,93","256,83","243,82","","4,63%"
"16/05/2024","245,23","245,43","246,04","242,63","","0,49%"
"15/05/2024","244,02","235,99","244,23","235,99","","3,58%"
"14/05/2024","235,59","234,22","237,79","232,74","","0,91%"
"13/05/2024","233,47","232,70","234,88","231,64","","-0,22%"
"10/05/2024","233,98","234,92","238,04","232,09","","0,50%"
"09/05/2024","232,83","226,55","233,40","226,22","","2,77%"
"08/05/2024","226,55","224,29","227,53","223,63","","0,21%"
"07/05/2024","226,09","226,09","227,86","224,95","","-0,25%"
"06/05/2024","226,66","223,18","227,12","222,32","","3,46%"
"03/05/2024","219,08","220,72","222,52","216,41","","-0,52%"
"02/05/2024","220,22","221,38","221,79","215,51","","0,30%"
"01/05/2024","219,55","218,75","220,68","218,21","","0,35%"
"30/04/2024","218,78","224,58","224,62","217,93","","-3,64%"
"29/04/2024","227,04","226,14","227,57","224,12","","0,45%"
"26/04/2024","226,01","227,33","230,03","224,66","","-0,35%"
"25/04/2024","226,82","225,77","228,80","223,92","","0,04%"
"24/04/2024","226,73","225,77","228,15","224,41","","-0,06%"
"23/04/2024","226,86","223,51","227,28","221,54","","0,43%"
"22/04/2024","225,90","235,66","235,78","225,15","","-5,52%"
"19/04/2024","239,09","238,69","239,27","233,15","","1,62%"
"18/04/2024","235,27","234,67","238,08","234,06","","-0,06%"
"17/04/2024","235,40","234,38","239,39","233,81","","0,09%"
"16/04/2024","235,20","239,31","240,13","232,37","","-1,17%"
"15/04/2024","237,97","234,84","239,43","233,61","","1,35%"
"12/04/2024","234,81","239,52","247,72","233,85","","0,28%"
"11/04/2024","234,16","232,62","234,42","231,02","","0,70%"
"10/04/2024","232,53","233,80","237,28","229,18","","0,24%"
"09/04/2024","231,97","231,30","235,69","229,88","","0,64%"
"08/04/2024","230,50","229,78","233,62","226,70","","1,10%"
"05/04/2024","227,99","219,84","228,79","219,75","","0,94%"
"04/04/2024","225,86","226,55","226,55","222,86","","0,69%"
"03/04/2024","224,31","218,55","224,40","217,97","","4,39%"
"02/04/2024","214,89","209,68","215,69","209,68","","3,39%"
