"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/10/2024","230,83","229,43","231,87","229,37","","0,33%"
"30/10/2024","230,07","227,92","230,36","227,11","","1,25%"
"29/10/2024","227,23","228,97","230,07","227,11","","-0,71%"
"28/10/2024","228,85","229,49","230,94","228,74","","-1,15%"
"25/10/2024","231,52","232,80","232,91","230,71","","-0,75%"
"24/10/2024","233,26","233,55","236,28","232,68","","0,00%"
"23/10/2024","233,26","232,91","233,84","230,77","","0,45%"
"22/10/2024","232,22","229,49","232,97","229,03","","1,09%"
"21/10/2024","229,72","228,33","230,48","228,33","","0,71%"
"18/10/2024","228,10","232,62","233,09","227,98","","-1,53%"
"17/10/2024","231,64","231,29","232,22","227,63","","0,40%"
"16/10/2024","230,71","234,13","235,00","230,54","","-0,95%"
"15/10/2024","232,91","234,07","234,36","231,12","","-0,79%"
"14/10/2024","234,77","235,99","237,56","234,65","","-0,93%"
"11/10/2024","236,98","240,15","241,31","236,72","","-1,00%"
"10/10/2024","239,36","241,23","241,91","238,70","","-0,53%"
"09/10/2024","240,65","240,18","242,38","238,76","","0,33%"
"08/10/2024","239,85","244,22","244,28","238,76","","-1,72%"
"07/10/2024","244,04","242,44","245,16","242,32","","-0,36%"
"04/10/2024","244,92","246,81","249,05","244,57","","-0,79%"
"03/10/2024","246,87","248,17","249,23","245,87","","-0,95%"
"02/10/2024","249,23","249,94","251,06","246,10","","-0,12%"
"01/10/2024","249,52","247,69","251,47","246,63","","0,02%"
"30/09/2024","249,46","248,58","252,47","248,28","","-0,82%"
"27/09/2024","251,53","245,28","252,36","245,22","","2,38%"
"26/09/2024","245,69","249,35","251,29","245,57","","-1,16%"
"25/09/2024","248,58","245,39","248,76","243,45","","1,06%"
"24/09/2024","245,98","244,45","249,76","243,80","","0,29%"
"23/09/2024","245,28","240,08","245,81","239,79","","2,69%"
"20/09/2024","238,84","239,37","240,50","236,31","","-0,12%"
"19/09/2024","239,14","237,90","240,26","237,66","","-0,07%"
"18/09/2024","239,32","240,73","241,20","237,55","","0,80%"
