"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/10/2024","133,44","130,39","133,91","129,80","","2,34%"
"30/10/2024","130,39","129,57","131,62","128,27","","0,63%"
"29/10/2024","129,57","128,86","130,45","128,45","","0,55%"
"28/10/2024","128,86","129,92","129,92","127,28","","-0,81%"
"25/10/2024","129,92","130,27","130,97","128,63","","-0,27%"
"24/10/2024","130,27","131,09","132,44","129,80","","-0,63%"
"23/10/2024","131,09","127,51","131,62","127,51","","2,81%"
"22/10/2024","127,51","128,10","129,33","126,51","","-0,46%"
"21/10/2024","128,10","130,15","131,15","127,04","","-1,58%"
"18/10/2024","130,15","130,03","132,62","129,80","","0,09%"
"17/10/2024","130,03","129,10","130,91","127,51","","0,73%"
"16/10/2024","129,10","133,91","134,67","128,92","","-3,59%"
"15/10/2024","133,91","131,38","134,20","130,15","","1,92%"
"14/10/2024","131,38","130,50","132,50","129,33","","0,67%"
"11/10/2024","130,50","130,03","133,09","128,68","","0,36%"
"10/10/2024","130,03","129,33","130,97","128,27","","0,54%"
"09/10/2024","129,33","131,97","132,21","128,10","","-2,00%"
"08/10/2024","131,97","132,32","133,09","130,45","","-0,27%"
"07/10/2024","132,32","135,02","135,67","131,03","","-2,00%"
"04/10/2024","135,02","136,37","137,60","133,38","","-0,99%"
"03/10/2024","136,37","133,09","136,96","131,44","","2,47%"
"02/10/2024","133,09","134,79","135,90","131,91","","-1,26%"
"01/10/2024","134,79","131,85","135,26","130,86","","2,23%"
"30/09/2024","131,85","132,85","133,20","129,98","","-0,75%"
"27/09/2024","132,85","136,31","136,31","131,56","","-2,54%"
"26/09/2024","136,31","137,37","138,66","136,02","","-0,77%"
"25/09/2024","137,37","135,67","138,13","134,38","","1,25%"
"24/09/2024","135,67","132,68","136,61","131,91","","2,26%"
"23/09/2024","132,68","133,44","135,61","131,38","","-0,57%"
"20/09/2024","133,44","129,33","134,49","129,33","","3,18%"
"19/09/2024","129,33","126,46","130,15","125,28","","2,27%"
"18/09/2024","126,46","119,53","127,75","118,77","","5,79%"
"17/09/2024","119,53","114,95","120,18","114,37","","3,98%"
"16/09/2024","114,95","113,90","116,36","112,78","","0,93%"
"13/09/2024","113,90","114,02","116,17","113,33","","-0,10%"
"12/09/2024","114,02","111,97","114,89","111,80","","1,83%"
"11/09/2024","111,97","110,36","113,25","110,20","","1,46%"
"10/09/2024","110,36","112,46","112,64","110,13","","-1,87%"
"09/09/2024","112,46","112,94","113,72","111,09","","-0,42%"
"06/09/2024","112,94","114,79","117,06","112,52","","-1,61%"
"05/09/2024","114,79","114,91","116,82","114,37","","-0,10%"
"04/09/2024","114,91","116,40","116,70","113,96","","-1,28%"
"03/09/2024","116,40","115,75","117,90","114,08","","0,57%"
"30/08/2024","115,75","118,79","119,15","115,21","","-2,56%"
"29/08/2024","118,79","116,70","119,21","116,29","","1,79%"
"28/08/2024","116,70","117,06","117,30","114,25","","-0,31%"
"27/08/2024","117,06","113,72","117,48","112,34","","2,94%"
"26/08/2024","113,72","109,84","114,49","109,84","","3,53%"
"23/08/2024","109,84","106,61","110,07","106,61","","3,03%"
"22/08/2024","106,61","105,42","107,86","105,42","","1,13%"
"21/08/2024","105,42","104,94","105,89","104,64","","0,46%"
"20/08/2024","104,94","107,63","107,80","104,70","","-2,50%"
"19/08/2024","107,63","107,68","108,22","107,03","","-0,06%"
"16/08/2024","107,68","106,79","109,48","106,55","","0,84%"
"15/08/2024","106,79","107,33","108,04","106,37","","-0,50%"
"14/08/2024","107,33","109,84","110,13","107,03","","-2,28%"
"13/08/2024","109,84","109,24","111,69","109,24","","0,55%"
"12/08/2024","109,24","110,37","111,87","108,94","","-1,03%"
"09/08/2024","110,37","110,91","112,58","109,36","","-0,48%"
"08/08/2024","110,91","108,34","112,58","107,21","","2,37%"
"07/08/2024","108,34","106,73","109,06","106,31","","1,51%"
"06/08/2024","106,73","107,98","108,22","106,13","","-1,16%"
"05/08/2024","107,98","108,10","109,60","105,42","","-0,11%"
"02/08/2024","108,10","110,49","111,51","107,51","","-2,16%"
"01/08/2024","110,49","113,12","114,67","109,84","","-2,32%"
"31/07/2024","113,12","114,19","115,39","111,99","","-0,94%"
"30/07/2024","114,19","113,54","114,31","112,34","","0,58%"
"29/07/2024","113,54","110,01","113,78","110,01","","3,20%"
"26/07/2024","110,01","111,45","111,87","109,42","","-1,29%"
"25/07/2024","111,45","106,97","111,63","106,97","","4,19%"
"24/07/2024","106,97","108,46","109,36","106,67","","-1,38%"
"23/07/2024","108,46","109,30","109,89","107,98","","-0,76%"
"22/07/2024","109,30","111,45","111,87","109,00","","-1,93%"
"19/07/2024","111,45","113,12","113,24","110,79","","-1,48%"
"18/07/2024","113,12","115,63","115,75","112,34","","-2,17%"
"17/07/2024","115,63","117,18","117,18","114,37","","-1,33%"
"16/07/2024","117,18","118,02","118,56","116,70","","-0,71%"
"15/07/2024","118,02","114,67","118,32","114,08","","2,92%"
"12/07/2024","114,67","116,05","116,64","114,55","","-1,18%"
"11/07/2024","116,05","118,32","118,85","115,81","","-1,92%"
"10/07/2024","118,32","117,18","120,11","116,64","","0,97%"
"09/07/2024","117,18","120,23","121,12","117,18","","-2,53%"
"08/07/2024","120,23","120,29","121,66","118,44","","-0,05%"
"05/07/2024","120,29","122,62","123,45","119,93","","-1,90%"
"03/07/2024","122,62","123,09","123,81","122,14","","-0,39%"
"02/07/2024","123,09","120,82","124,11","119,09","","1,88%"
"01/07/2024","120,82","121,24","121,90","119,81","","-0,34%"
"28/06/2024","121,24","120,71","122,20","119,21","","0,45%"
"27/06/2024","120,71","116,52","121,48","116,40","","3,59%"
"26/06/2024","116,52","116,40","117,42","115,27","","0,10%"
"25/06/2024","116,40","117,78","117,90","114,85","","-1,17%"
"24/06/2024","117,78","114,43","117,90","114,02","","2,92%"
"21/06/2024","114,43","113,60","114,79","113,24","","0,74%"
"20/06/2024","113,60","113,42","116,58","113,18","","0,16%"
"18/06/2024","113,42","113,84","114,85","112,88","","-0,37%"
"17/06/2024","113,84","116,40","116,40","112,40","","-2,21%"
"14/06/2024","116,40","117,30","117,30","115,51","","-0,76%"
"13/06/2024","117,30","114,04","117,50","113,86","","2,86%"
"12/06/2024","114,04","112,11","114,54","111,89","","1,72%"
"11/06/2024","112,11","111,16","112,94","111,04","","0,86%"
"10/06/2024","111,16","113,27","115,03","110,99","","-1,87%"
"07/06/2024","113,27","114,58","115,48","111,84","","-1,14%"
"06/06/2024","114,58","114,05","115,24","113,75","","0,47%"
"05/06/2024","114,05","112,44","114,29","111,66","","1,43%"
"04/06/2024","112,44","111,96","112,68","111,13","","0,43%"
"03/06/2024","111,96","109,10","112,38","108,56","","2,62%"
"31/05/2024","109,10","108,44","110,05","107,49","","0,60%"
"30/05/2024","108,44","109,40","109,46","108,20","","-0,87%"
"29/05/2024","109,40","111,66","111,66","108,68","","-2,03%"
"28/05/2024","111,66","109,75","112,08","109,75","","1,74%"
"24/05/2024","109,75","108,86","110,17","107,49","","0,82%"
"23/05/2024","108,86","108,68","110,71","108,68","","0,16%"
"22/05/2024","108,68","110,65","110,89","108,50","","-1,78%"
"21/05/2024","110,65","111,36","111,84","109,99","","-0,64%"
"20/05/2024","111,36","108,09","111,90","107,73","","3,03%"
"17/05/2024","108,09","109,28","109,99","107,67","","-1,09%"
"16/05/2024","109,28","111,19","111,19","107,13","","-1,72%"
"15/05/2024","111,19","112,50","112,91","110,29","","-1,17%"
"14/05/2024","112,50","111,07","112,97","109,16","","1,29%"
"13/05/2024","111,07","115,06","115,30","110,89","","-3,47%"
"10/05/2024","115,06","116,73","116,91","114,76","","-1,43%"
"09/05/2024","116,73","116,85","118,40","115,66","","-0,10%"
"08/05/2024","116,85","118,94","118,94","116,31","","-1,75%"
"07/05/2024","118,94","116,13","119,23","115,54","","2,41%"
"06/05/2024","116,13","114,94","116,37","114,17","","1,04%"
"03/05/2024","114,94","114,76","116,31","114,35","","0,16%"
"02/05/2024","114,76","114,58","116,19","113,87","","0,16%"
"01/05/2024","114,58","115,72","116,07","113,87","","-0,98%"
"30/04/2024","115,72","117,92","118,28","114,94","","-1,87%"
"29/04/2024","117,92","113,81","118,16","113,81","","3,61%"
"26/04/2024","113,81","114,23","116,91","113,33","","-0,37%"
"25/04/2024","114,23","117,86","117,86","113,15","","-3,09%"
