"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/04/2025","28,0433","31,0047","31,0596","27,8653","","-9,14%"
"01/03/2025","30,8634","31,9198","33,2346","30,7786","","-2,97%"
"01/02/2025","31,8088","31,3991","33,3597","31,3198","","0,09%"
"01/01/2025","31,7801","31,3229","32,9931","30,2317","0,02K","2,03%"
"01/12/2024","31,1488","31,9768","32,5184","30,5457","0,02K","-2,44%"
"01/11/2024","31,9274","32,2691","33,5366","30,4663","0,01K","-0,73%"
"01/10/2024","32,1619","32,3602","33,3982","30,8172","","-0,56%"
"01/09/2024","32,3429","30,0572","32,8854","28,7891","","6,39%"
"01/08/2024","30,3990","28,8271","31,7602","27,6528","","6,82%"
"01/07/2024","28,4580","31,8119","32,1739","27,4544","","-10,46%"
"01/06/2024","31,7811","33,8779","34,3152","31,1066","","-5,81%"
"01/05/2024","33,7414","32,8851","35,3910","31,9243","","2,05%"
"01/04/2024","33,0620","30,0007","34,3407","29,9361","","10,20%"
"01/03/2024","30,0007","28,6211","30,0011","28,4531","","4,47%"
"01/02/2024","28,7175","29,2123","29,8010","28,0459","","-2,92%"
"01/01/2024","29,5806","30,8746","31,2404","27,9327","","-4,88%"
"01/12/2023","31,0966","28,8899","31,2925","27,5912","","7,90%"
"01/11/2023","28,8204","29,6723","30,2606","28,7384","","-3,21%"
"01/10/2023","29,7751","31,2202","31,5306","28,5657","","-4,90%"
"01/09/2023","31,3103","29,7524","31,3637","28,8486","","6,55%"
"01/08/2023","29,3855","30,5948","30,5982","28,1813","","-4,16%"
"01/07/2023","30,6625","29,1651","30,8517","28,6750","","5,61%"
"01/06/2023","29,0333","30,7508","31,6213","28,7974","","-5,44%"
"01/05/2023","30,7030","32,1538","32,5430","29,7587","","-4,51%"
"01/04/2023","32,1538","32,9545","33,6218","31,2577","","-2,76%"
"01/03/2023","33,0650","32,8647","33,8023","30,9412","","1,15%"
"01/02/2023","32,6904","36,4844","36,7288","32,0207","","-10,94%"
"01/01/2023","36,7079","33,2795","37,2980","31,3333","","10,81%"
"01/12/2022","33,1259","34,7523","36,0974","32,9163","","-4,56%"
"01/11/2022","34,7101","31,2982","34,9284","31,2313","","10,91%"
"01/10/2022","31,2947","30,4183","33,7391","30,1354","","2,71%"
"01/09/2022","30,4679","33,3014","33,3862","29,3111","","-8,74%"
"01/08/2022","33,3862","34,6382","35,7592","33,1103","","-5,33%"
"01/07/2022","35,2651","34,3003","35,2829","32,5463","","2,37%"
"01/06/2022","34,4482","39,3696","40,1790","33,9092","","-12,37%"
"01/05/2022","39,3094","43,2240","43,2240","38,1332","","-9,06%"
"01/04/2022","43,2240","49,5965","50,0859","42,6253","","-12,90%"
"01/03/2022","49,6249","48,0935","58,0731","45,8344","","3,43%"
"01/02/2022","47,9797","43,1870","50,2068","42,1199","","11,70%"
"01/01/2022","42,9530","39,8191","44,5802","39,5993","","7,87%"
"01/12/2021","39,8191","37,4806","40,4572","36,6547","","6,75%"
"01/11/2021","37,3027","39,0401","39,4379","35,7297","","-3,59%"
"01/10/2021","38,6906","40,6744","45,9006","37,0749","","-4,81%"
"01/09/2021","40,6460","38,4940","42,6415","37,8537","","5,11%"
"01/08/2021","38,6718","37,1904","38,7572","35,7800","","4,53%"
"01/07/2021","36,9944","35,9501","37,7713","34,4639","","2,79%"
"01/06/2021","35,9893","35,2578","36,4954","33,5409","","1,68%"
"01/05/2021","35,3937","34,2952","37,2110","32,8749","","3,20%"
"01/04/2021","34,2952","31,8699","34,9034","31,6970","","8,20%"
"01/03/2021","31,6970","31,2252","33,0404","30,3465","","2,24%"
"01/02/2021","31,0020","28,6618","32,3093","28,1418","","8,70%"
"01/01/2021","28,5205","28,7831","30,0404","28,1020","","-0,49%"
"01/12/2020","28,6600","29,7393","30,3629","28,6165","","-3,65%"
"01/11/2020","29,7466","26,9779","29,7721","26,7341","","10,40%"
"01/10/2020","26,9451","25,5884","27,2580","24,9971","","5,32%"
"01/09/2020","25,5848","26,3221","26,5762","25,0299","","-2,50%"
"01/08/2020","26,2418","25,0752","26,3559","24,9349","","4,68%"
"01/07/2020","25,0678","23,8970","25,3559","23,7234","","5,00%"
"01/06/2020","23,8748","22,9768","24,2484","22,5916","","3,98%"
"01/05/2020","22,9618","22,2065","22,9730","21,6793","","3,05%"
"01/04/2020","22,2813","23,0162","23,0162","21,7755","","-3,00%"
"01/03/2020","22,9707","25,7543","26,2739","22,6938","","-10,60%"
"01/02/2020","25,6936","26,3860","26,6040","25,2461","","-1,86%"
"01/01/2020","26,1794","27,6636","28,0194","26,1106","","-5,47%"
"01/12/2019","27,6942","27,1681","28,0194","26,6310","","1,62%"
"01/11/2019","27,2530","27,1217","28,1223","26,5924","","0,66%"
