"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/04/2025","9,1039","8,7744","9,1202","8,6160","","3,70%"
"01/03/2025","8,7792","9,0528","9,1632","8,4864","","-2,61%"
"01/02/2025","9,0144","9,3424","9,9600","9,0048","","-5,16%"
"01/01/2025","9,5051","9,0417","9,8108","8,8593","0,02K","5,13%"
"01/12/2024","9,0417","8,4944","9,0466","8,4451","0,02K","5,89%"
"01/11/2024","8,5388","8,3589","8,8186","8,3488","0,01K","2,46%"
"01/10/2024","8,3336","8,5618","8,8103","8,0952","","-3,30%"
"01/09/2024","8,6176","8,1205","8,6785","8,0597","","5,92%"
"01/08/2024","8,1357","8,1381","8,3560","7,8111","","-0,03%"
"01/07/2024","8,1381","8,6856","8,7919","8,1062","","-6,07%"
"01/06/2024","8,6643","9,5709","9,8922","8,4995","","-9,57%"
"01/05/2024","9,5816","9,5870","10,2096","9,5279","","-0,11%"
"01/04/2024","9,5923","9,6906","9,7534","9,3561","","-1,63%"
"01/03/2024","9,7513","9,4645","9,8782","9,3101","","2,91%"
"01/02/2024","9,4755","10,1064","10,1801","9,0233","","-6,82%"
"01/01/2024","10,1687","10,6905","10,6905","9,9022","","-4,88%"
"01/12/2023","10,6905","10,9287","11,2009","10,6224","","-2,38%"
"01/11/2023","10,9514","11,1856","11,2633","10,6735","","-2,25%"
"01/10/2023","11,2032","11,1739","11,9228","11,1564","","0,42%"
"01/09/2023","11,1564","11,2324","11,4723","10,9458","","-0,31%"
"01/08/2023","11,1915","12,1632","12,3134","11,0920","","-7,62%"
"01/07/2023","12,1151","11,7846","13,5634","11,4060","","3,17%"
"01/06/2023","11,7425","12,5752","14,9996","11,7185","","-6,07%"
"01/05/2023","12,5015","12,2490","12,7698","11,5229","","1,54%"
"01/04/2023","12,3121","13,4507","13,6275","12,0385","","-7,70%"
"01/03/2023","13,3396","12,7994","13,4103","12,2541","","4,80%"
"01/02/2023","12,7287","13,6225","13,8294","12,7236","","-7,01%"
"01/01/2023","13,6879","13,6628","13,8692","13,0536","","0,18%"
"01/12/2022","13,6628","13,3557","13,7936","12,7868","","1,72%"
"01/11/2022","13,4312","14,0117","14,1844","13,1593","","-4,39%"
"01/10/2022","14,0473","13,9508","14,3317","13,6410","","2,07%"
"01/09/2022","13,7629","13,6359","14,2098","13,2855","","1,04%"
"01/08/2022","13,6207","12,3829","13,8898","11,8154","","9,06%"
"01/07/2022","12,4893","12,7173","13,4215","11,4303","","-1,99%"
