"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/04/2025","288,53","297,40","297,94","278,45","","-2,25%"
"01/03/2025","295,18","272,30","296,17","271,41","","9,54%"
"01/02/2025","269,47","265,97","281,31","265,47","","0,48%"
"01/01/2025","268,19","252,94","270,79","250,84","0,02K","6,27%"
"01/12/2024","252,36","253,10","263,66","248,54","0,02K","-1,49%"
"01/11/2024","256,18","266,08","267,33","245,11","0,01K","-3,37%"
"01/10/2024","265,12","256,64","270,15","252,79","","3,38%"
"01/09/2024","256,45","243,58","261,20","241,37","","5,21%"
"01/08/2024","243,74","240,64","247,83","231,90","","2,21%"
"01/07/2024","238,47","229,97","244,69","229,02","","3,63%"
"01/06/2024","230,11","231,24","236,69","226,67","","-0,26%"
"01/05/2024","230,72","228,24","243,63","227,08","","0,89%"
"01/04/2024","228,69","226,05","243,09","223,37","","2,88%"
"01/03/2024","222,28","205,95","223,03","205,26","","7,89%"
"01/02/2024","206,03","204,88","208,85","200,25","","-0,61%"
"01/01/2024","207,30","210,25","211,40","203,01","","-1,18%"
"01/12/2023","209,77","208,54","213,64","201,29","","0,71%"
"01/11/2023","208,30","203,37","209,59","197,99","","2,10%"
"01/10/2023","204,00","190,21","206,33","186,55","","6,87%"
"01/09/2023","190,89","201,43","202,54","190,85","","-5,08%"
"01/08/2023","201,10","204,48","204,64","195,76","","-2,16%"
"01/07/2023","205,53","200,84","207,51","199,12","","2,11%"
"01/06/2023","201,28","206,85","208,72","198,30","","-2,66%"
"01/05/2023","206,78","209,64","217,79","203,42","","-1,79%"
"01/04/2023","210,55","208,20","217,29","207,07","","0,65%"
"01/03/2023","209,19","194,99","213,98","192,72","","7,17%"
"01/02/2023","195,20","206,26","209,90","192,53","","-5,58%"
"01/01/2023","206,74","197,86","208,95","196,19","","5,59%"
"01/12/2022","195,79","191,62","197,38","190,75","","3,77%"
"01/11/2022","188,68","177,30","193,40","174,94","","6,40%"
"01/10/2022","177,33","181,29","187,90","175,24","","-1,87%"
"01/09/2022","180,72","185,24","188,73","175,34","","-3,14%"
"01/08/2022","186,57","192,34","197,17","185,97","","-3,12%"
"01/07/2022","192,58","197,24","198,15","183,35","","-2,51%"
"01/06/2022","197,54","200,77","205,43","197,05","","-2,22%"
"01/05/2022","202,03","207,42","209,61","195,89","","-3,69%"
"01/04/2022","209,77","213,22","219,77","205,46","","-2,16%"
"01/03/2022","214,41","209,42","228,32","207,81","","2,61%"
"01/02/2022","208,95","197,70","217,28","196,65","","5,81%"
"01/01/2022","197,49","201,15","204,00","195,75","","-1,90%"
"01/12/2021","201,30","195,90","201,34","194,02","","2,93%"
"01/11/2021","195,57","196,79","207,17","193,99","","-0,54%"
"01/10/2021","196,62","193,44","200,10","192,46","","1,53%"
