"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/04/2025","237,86","273,15","273,42","227,75","","-12,13%"
"01/03/2025","270,69","249,18","277,57","247,46","","9,89%"
"01/02/2025","246,33","250,82","269,98","245,42","","-3,31%"
"01/01/2025","254,77","234,71","259,86","233,64","0,02K","10,34%"
"01/12/2024","230,90","241,86","263,02","230,21","0,02K","-6,00%"
"01/11/2024","245,63","262,78","266,14","238,30","0,01K","-6,44%"
"01/10/2024","262,55","253,17","280,63","243,01","","4,25%"
"01/09/2024","251,84","231,16","264,22","224,23","","7,94%"
"01/08/2024","233,30","236,71","245,53","216,00","","-0,72%"
"01/07/2024","234,99","238,86","259,85","223,07","","-2,10%"
"01/06/2024","240,04","252,48","259,87","234,72","","-3,93%"
"01/05/2024","249,86","218,75","268,74","215,51","","14,20%"
"01/04/2024","218,78","209,18","247,72","206,12","","5,93%"
"01/03/2024","206,54","189,95","215,32","188,30","","8,87%"
"01/02/2024","189,70","192,60","196,87","183,94","","-2,16%"
"01/01/2024","193,89","201,81","203,65","184,44","","-3,81%"
"01/12/2023","201,56","214,78","217,33","190,72","","-6,13%"
"01/11/2023","214,73","193,72","214,82","186,31","","10,16%"
"01/10/2023","194,92","188,20","202,76","177,20","","2,24%"
"01/09/2023","190,66","211,64","214,10","190,53","","-9,52%"
"01/08/2023","210,72","213,77","215,88","191,81","","-2,13%"
"01/07/2023","215,29","197,99","219,55","196,01","","8,48%"
"01/06/2023","198,47","206,05","214,10","192,60","","-3,28%"
"01/05/2023","205,20","219,54","229,98","198,96","","-6,50%"
"01/04/2023","219,46","210,33","230,02","208,18","","3,54%"
"01/03/2023","211,96","185,32","213,27","175,05","","14,64%"
"01/02/2023","184,89","210,20","218,88","180,01","","-12,38%"
"01/01/2023","211,01","216,53","219,23","202,50","","-0,85%"
"01/12/2022","212,81","199,05","216,80","196,88","","10,37%"
"01/11/2022","192,82","172,07","199,18","167,66","","13,12%"
"01/10/2022","170,46","171,63","189,90","160,62","","0,42%"
"01/09/2022","169,75","156,78","178,36","155,22","","6,47%"
"01/08/2022","159,43","181,01","186,96","158,74","","-12,11%"
"01/07/2022","181,39","180,88","182,09","161,79","","-0,76%"
"01/06/2022","182,78","194,11","203,49","180,97","","-6,56%"
"01/05/2022","195,62","204,25","210,03","184,28","","-6,05%"
"01/04/2022","208,22","226,04","239,57","207,28","","-8,44%"
"01/03/2022","227,42","220,88","248,70","217,71","","3,15%"
"01/02/2022","220,48","203,72","232,60","199,42","","8,60%"
"01/01/2022","203,03","210,25","224,44","199,06","","-4,11%"
"01/12/2021","211,72","207,08","212,84","194,66","","2,35%"
"01/11/2021","206,85","217,00","231,56","205,95","","-4,93%"
"01/10/2021","217,58","200,60","226,36","199,79","","8,63%"
"01/09/2021","200,30","216,96","226,59","194,56","","-8,16%"
"01/08/2021","218,10","231,63","237,50","207,87","","-6,24%"
"01/07/2021","232,61","239,64","245,02","223,21","","-2,47%"
"01/06/2021","238,50","258,42","261,56","233,22","","-6,60%"
"01/05/2021","255,36","237,00","262,66","236,54","","8,28%"
"01/04/2021","235,84","222,76","243,15","221,62","","5,32%"
"01/03/2021","223,92","245,35","247,95","217,38","","-7,22%"
"01/02/2021","241,34","263,47","277,00","237,28","","-1,90%"
"01/01/2021","246,00","249,30","256,89","224,53","","1,90%"
"01/12/2020","241,41","209,63","252,41","209,13","","16,90%"
"01/11/2020","206,51","220,91","239,80","200,77","","-5,00%"
"01/10/2020","217,38","216,59","236,35","208,08","","0,65%"
"01/09/2020","215,98","264,02","268,71","200,59","","-17,84%"
"01/08/2020","262,86","226,33","273,33","218,72","","17,14%"
"01/07/2020","224,40","172,54","243,24","166,84","","29,94%"
"01/06/2020","172,70","175,53","177,45","159,15","","-0,30%"
"01/05/2020","173,22","141,40","173,37","138,26","","23,55%"
"01/04/2020","140,21","133,98","154,53","131,95","","4,83%"
"01/03/2020","133,75","159,82","166,01","110,41","","-13,98%"
"01/02/2020","155,49","169,77","179,57","155,10","","-9,05%"
"01/01/2020","170,97","170,10","177,12","164,83","","0,51%"
"01/12/2019","170,11","161,51","172,71","157,47","","4,76%"
"01/11/2019","162,37","173,05","174,48","159,09","","-6,13%"
"01/10/2019","172,97","163,09","175,63","162,23","","6,29%"
"01/09/2019","162,74","177,16","187,55","162,66","","-7,33%"
"01/08/2019","175,60","156,15","179,51","153,83","","10,92%"
"01/07/2019","158,32","147,32","160,98","143,99","","6,94%"
"01/06/2019","148,05","141,95","150,79","141,27","","4,79%"
"01/05/2019","141,29","144,86","145,44","138,46","","-2,78%"
"01/04/2019","145,33","147,59","149,35","143,40","","-1,43%"
"01/03/2019","147,44","152,47","152,71","145,88","","-3,35%"
"01/02/2019","152,55","156,90","159,00","151,69","","-3,33%"
"01/01/2019","157,80","151,60","159,01","149,19","","3,42%"
"01/12/2018","152,58","140,94","152,87","140,94","","9,31%"
"01/11/2018","139,59","141,77","147,76","137,31","","-1,31%"
"01/10/2018","141,44","145,03","148,05","141,12","","-2,92%"
"01/09/2018","145,70","143,99","146,07","138,35","","1,06%"
"01/08/2018","144,16","154,83","155,18","143,10","","-7,04%"
"01/07/2018","155,07","160,66","162,01","151,35","","-3,94%"
"01/06/2018","161,44","164,72","173,72","159,17","","-2,04%"
"01/05/2018","164,80","163,37","168,88","160,91","","0,35%"
"01/04/2018","164,23","165,08","174,48","162,47","","0,39%"
"01/03/2018","163,60","164,72","169,85","161,96","","-0,85%"
"01/02/2018","165,00","174,55","174,85","163,07","","-5,31%"
"01/01/2018","174,26","171,87","178,90","169,19","","0,56%"
"01/12/2017","173,29","166,46","173,54","158,13","","4,07%"
"01/11/2017","166,50","169,99","176,58","165,25","","-1,86%"
"01/10/2017","169,67","168,98","177,82","166,18","","0,10%"
"01/09/2017","169,49","179,04","185,90","169,38","","-5,12%"
"01/08/2017","178,63","171,79","180,41","164,43","","4,16%"
"01/07/2017","171,49","169,54","172,35","154,93","","0,96%"
"01/06/2017","169,87","177,77","182,08","166,48","","-4,89%"
"01/05/2017","178,60","175,82","179,21","164,84","","0,83%"
"01/04/2017","177,12","187,88","191,67","176,39","","-5,83%"
"01/03/2017","188,10","189,07","190,71","173,51","","-1,15%"
"01/02/2017","190,29","181,20","190,87","178,61","","4,88%"
"01/01/2017","181,44","166,57","182,29","164,81","","9,72%"
"01/12/2016","165,37","170,13","178,92","162,17","","-2,99%"
"01/11/2016","170,46","186,00","197,70","168,06","","-7,97%"
"01/10/2016","185,23","201,35","201,41","178,40","","-7,38%"
"01/09/2016","199,99","195,58","210,41","194,17","","2,71%"
"01/08/2016","194,71","216,11","218,04","192,56","","-8,60%"
"01/07/2016","213,04","199,25","217,21","199,09","","9,26%"
"01/06/2016","194,99","168,50","195,06","166,30","","16,09%"
"01/05/2016","167,97","188,03","189,56","167,87","","-10,24%"
"01/04/2016","187,13","162,38","189,08","155,70","","14,95%"
"01/03/2016","162,79","157,28","170,22","155,22","","3,66%"
"01/02/2016","157,04","150,60","168,44","149,81","","4,58%"
"01/01/2016","150,16","146,12","153,61","144,81","","3,19%"
"01/12/2015","145,52","148,97","154,24","143,65","","-2,01%"
"01/11/2015","148,51","163,96","164,12","146,44","","-9,79%"
"01/10/2015","164,62","153,65","173,11","151,86","","7,23%"
"01/09/2015","153,53","154,60","162,96","150,69","","-0,47%"
"01/08/2015","154,25","155,86","165,81","147,57","","-1,41%"
"01/07/2015","156,45","166,16","167,70","152,10","","-5,37%"
"01/06/2015","165,32","177,40","182,51","163,93","","-6,96%"
"01/05/2015","177,68","171,66","189,11","169,21","","3,39%"
"01/04/2015","171,85","177,88","184,60","166,02","","-2,94%"
"01/03/2015","177,06","178,79","185,40","162,79","","0,24%"
"01/02/2015","176,63","183,15","189,73","171,85","","-4,03%"
"01/01/2015","184,04","168,93","197,86","166,15","","10,31%"
"01/12/2014","166,83","159,63","185,35","158,88","","0,28%"
"01/11/2014","166,37","170,88","179,20","161,43","","-3,73%"
"01/10/2014","172,82","181,82","191,05","169,00","","-5,58%"
"01/09/2014","183,02","208,86","209,51","180,91","","-12,49%"
"01/08/2014","209,15","219,83","221,45","207,79","","-4,82%"
"01/07/2014","219,75","227,32","232,81","219,19","","-3,06%"
"01/06/2014","226,68","202,29","228,77","201,21","","12,47%"
"01/05/2014","201,55","206,86","215,66","200,88","","-2,57%"
"01/04/2014","206,86","212,69","220,14","204,55","","-3,09%"
"01/03/2014","213,47","229,56","235,49","211,61","","-7,01%"
"01/02/2014","229,56","206,75","239,98","206,42","","10,89%"
"01/01/2014","207,02","216,60","222,99","205,61","","-1,29%"
"01/12/2013","209,72","214,81","221,63","203,93","","-3,31%"
"01/11/2013","216,90","238,20","239,50","212,43","","-8,64%"
"01/10/2013","237,41","236,35","250,58","222,73","","0,73%"
"01/09/2013","235,68","255,28","266,26","230,44","","-7,68%"
"01/08/2013","255,28","215,57","273,16","209,36","","19,49%"
"01/07/2013","213,64","211,38","223,89","203,27","","0,81%"
"01/06/2013","211,92","245,51","249,87","199,89","","-12,66%"
"01/05/2013","242,65","260,56","265,58","234,44","","-8,03%"
"01/04/2013","263,84","307,87","307,87","248,24","","-14,81%"
"01/03/2013","309,70","308,03","320,83","307,16","","-0,38%"
"01/02/2013","310,90","344,69","352,19","310,55","","-9,49%"
"01/01/2013","343,49","338,77","355,75","320,91","","3,72%"
"01/12/2012","331,18","367,64","371,31","325,02","","-9,17%"
"01/11/2012","364,61","356,99","377,50","338,49","","2,72%"
"01/10/2012","354,97","377,65","388,96","346,67","","-6,54%"
"01/09/2012","379,81","361,50","386,82","351,67","","9,97%"
"01/08/2012","345,37","306,99","346,01","296,85","","12,31%"
"01/07/2012","307,53","301,04","313,16","291,29","","1,09%"
"01/06/2012","304,20","302,84","329,67","287,87","","-0,74%"
"01/05/2012","306,45","340,60","346,29","295,45","","-10,51%"
"01/04/2012","342,44","359,15","368,22","331,33","","-4,71%"
"01/03/2012","359,36","382,27","394,72","344,10","","-6,23%"
"01/02/2012","383,23","374,73","415,63","362,03","","3,95%"
"01/01/2012","368,66","318,65","377,67","316,16","","19,15%"
"01/12/2011","309,40","367,81","373,68","292,11","","-14,90%"
"01/11/2011","363,58","369,20","392,30","340,71","","-4,68%"
"01/10/2011","381,45","345,38","392,68","322,12","","14,20%"
"01/09/2011","334,03","462,58","481,34","311,46","","-27,98%"
"01/08/2011","463,78","438,20","488,06","417,20","","4,05%"
"01/07/2011","445,71","376,96","460,65","372,24","","15,14%"
"01/06/2011","387,10","423,26","427,04","371,18","","-9,12%"
"01/05/2011","425,92","501,15","526,78","363,93","","-21,18%"
"01/04/2011","540,39","420,06","551,07","412,61","","28,18%"
"01/03/2011","421,60","383,45","424,85","373,49","","12,03%"
"01/02/2011","376,33","314,39","378,11","310,16","","19,96%"
"01/01/2011","313,71","347,69","348,30","295,57","","-8,95%"
"01/12/2010","344,54","320,07","344,96","307,60","","9,66%"
"01/11/2010","314,19","278,46","327,60","267,30","","14,53%"
"01/10/2010","274,32","245,13","276,73","243,69","","12,57%"
"01/09/2010","243,69","217,49","246,80","215,76","","12,29%"
"01/08/2010","217,01","202,81","217,15","198,62","","7,61%"
"01/07/2010","201,67","207,85","209,57","194,07","","-3,77%"
"01/06/2010","209,57","207,10","218,38","194,08","","1,32%"
"01/05/2010","206,85","210,19","222,82","191,78","","-1,16%"
"01/04/2010","209,28","199,06","210,98","197,56","","6,18%"
"01/03/2010","197,10","185,22","199,48","184,77","","6,08%"
"01/02/2010","185,80","184,62","189,29","165,02","","1,88%"
"01/01/2010","182,36","193,51","213,17","180,39","","-3,89%"
"01/12/2009","189,74","210,64","219,31","188,84","","-9,07%"
"01/11/2009","208,66","187,59","213,73","183,35","","13,73%"
"01/10/2009","183,47","187,53","203,67","179,69","","-2,41%"
"01/09/2009","188,01","167,04","198,42","166,03","","11,63%"
"01/08/2009","168,43","161,84","170,77","152,71","","6,76%"
"01/07/2009","157,77","154,37","159,46","138,02","","2,50%"
"01/06/2009","153,92","180,25","181,72","152,28","","-13,07%"
"01/05/2009","177,07","138,90","177,75","137,99","","26,65%"
"01/04/2009","139,81","147,91","149,73","133,85","","-5,30%"
"01/03/2009","147,63","149,28","157,80","135,18","","-0,95%"
"01/02/2009","149,05","139,94","166,38","138,29","","4,09%"
"01/01/2009","143,19","126,67","144,16","117,61","","11,24%"
"01/12/2008","128,72","112,02","132,37","103,99","","10,41%"
"01/11/2008","116,58","113,78","123,56","100,49","","4,73%"
"01/10/2008","111,32","139,00","149,64","97,42","","-20,73%"
"01/09/2008","140,43","151,70","158,79","117,95","","-10,45%"
"01/08/2008","156,82","203,19","204,98","146,78","","-23,63%"
"01/07/2008","205,33","203,31","225,64","194,42","","1,60%"
"01/06/2008","202,10","194,27","205,97","184,25","","3,20%"
"01/05/2008","195,84","194,33","212,97","186,44","","1,64%"
"01/04/2008","192,68","196,33","216,57","190,37","","-4,69%"
"01/03/2008","202,17","236,50","245,32","196,39","","-13,08%"
"01/02/2008","232,59","202,98","233,47","191,47","","16,51%"
"01/01/2008","199,63","176,73","200,75","176,61","","13,91%"
"01/12/2007","175,26","164,39","176,61","162,34","","5,33%"
"01/11/2007","166,39","171,45","190,55","164,04","","-3,14%"
"01/10/2007","171,79","164,20","173,12","156,46","","3,73%"
"01/09/2007","165,62","145,57","166,58","144,33","","13,81%"
"01/08/2007","145,52","154,89","159,88","133,80","","-7,37%"
"01/07/2007","157,09","151,63","164,00","149,88","","4,36%"
"01/06/2007","150,52","165,63","169,04","148,01","","-8,31%"
"01/05/2007","164,17","164,23","167,03","155,51","","-0,77%"
"01/04/2007","165,45","164,66","174,53","160,23","","-0,04%"
"01/03/2007","165,52","176,22","177,33","153,70","","-5,51%"
"01/02/2007","175,18","170,21","183,12","164,68","","3,91%"
"01/01/2007","168,59","160,83","170,21","150,33","","4,91%"
"01/12/2006","160,70","174,55","178,53","154,06","","-8,36%"
"01/11/2006","175,36","155,96","176,29","150,95","","13,45%"
"01/10/2006","154,57","146,95","154,95","134,16","","6,33%"
"01/09/2006","145,37","144,49","148,65","132,97","","-11,44%"
"01/08/2006","164,14","164,14","164,14","164,14","","13,07%"
"01/07/2006","145,17","145,17","145,17","145,17","","4,12%"
"01/06/2006","139,42","139,42","139,42","139,42","","-13,12%"
"01/05/2006","160,47","160,47","160,47","160,47","","-8,62%"
"01/04/2006","175,61","175,61","175,61","175,61","","17,25%"
"01/03/2006","149,77","149,77","149,77","149,77","","17,49%"
"01/02/2006","127,47","127,47","127,47","127,47","","-1,67%"
"01/01/2006","129,64","129,64","129,64","129,64","","11,19%"
"01/12/2005","116,59","116,59","116,59","116,59","","6,02%"
"01/11/2005","109,97","109,97","109,97","109,97","","9,42%"
"01/10/2005","100,50","100,50","100,50","100,50","","0,90%"
"01/09/2005","99,60","99,60","99,60","99,60","","9,58%"
"01/08/2005","90,89","90,89","90,89","90,89","","-6,58%"
"01/07/2005","97,29","97,29","97,29","97,29","","2,64%"
"01/06/2005","94,79","94,79","94,79","94,79","","-5,63%"
"01/05/2005","100,44","100,44","100,44","100,44","","7,38%"
"01/04/2005","93,54","93,54","93,54","93,54","","-3,95%"
"01/03/2005","97,39","97,39","97,39","97,39","","-2,91%"
"01/02/2005","100,31","100,31","100,31","100,31","","8,99%"
"01/01/2005","92,04","92,04","92,04","92,04","","-1,32%"
"01/12/2004","93,27","93,27","93,27","93,27","","-12,08%"
"01/11/2004","106,09","106,09","106,09","106,09","","5,79%"
"01/10/2004","100,28","100,28","100,28","100,28","","5,29%"
"01/09/2004","95,24","95,24","95,24","95,24","","1,85%"
"01/08/2004","93,51","93,51","93,51","93,51","","3,30%"
"01/07/2004","90,52","90,52","90,52","90,52","","13,19%"
"01/06/2004","79,97","79,97","79,97","79,97","","-5,46%"
"01/05/2004","84,59","84,59","84,59","84,59","","0,33%"
"01/04/2004","84,31","84,31","84,31","84,31","","-23,52%"
"01/03/2004","110,24","110,24","110,24","110,24","","18,31%"
"01/02/2004","93,18","93,18","93,18","93,18","","7,18%"
"01/01/2004","86,94","86,94","86,94","86,94","","4,78%"
"01/12/2003","82,97","82,97","82,97","82,97","","10,83%"
"01/11/2003","74,86","74,86","74,86","74,86","","5,87%"
"01/10/2003","70,71","70,71","70,71","70,71","","-1,49%"
"01/09/2003","71,78","71,78","71,78","71,78","","0,20%"
"01/08/2003","71,64","71,64","71,64","71,64","","-0,08%"
"01/07/2003","71,70","71,70","71,70","71,70","","12,08%"
"01/06/2003","63,97","63,97","63,97","63,97","","0,47%"
"01/05/2003","63,67","63,67","63,67","63,67","","-2,56%"
"01/04/2003","65,34","65,34","65,34","65,34","","3,86%"
"01/03/2003","62,91","62,91","62,91","62,91","","-2,93%"
"01/02/2003","64,81","64,81","64,81","64,81","","-5,61%"
"01/01/2003","68,66","68,66","68,66","68,66","","1,00%"
"01/12/2002","67,98","67,98","67,98","67,98","","8,51%"
"01/11/2002","62,65","62,65","62,65","62,65","","-2,05%"
"01/10/2002","63,96","63,96","63,96","63,96","","-0,94%"
"01/09/2002","64,57","64,57","64,57","64,57","","1,78%"
"01/08/2002","63,44","63,44","63,44","63,44","","-3,43%"
"01/07/2002","65,69","65,69","65,69","65,69","","-5,29%"
"01/06/2002","69,36","69,36","69,36","69,36","","-4,09%"
"01/05/2002","72,32","72,32","72,32","72,32","","10,70%"
"01/04/2002","65,33","65,33","65,33","65,33","","-2,46%"
"01/03/2002","66,98","66,98","66,98","66,98","","2,94%"
"01/02/2002","65,07","65,07","65,07","65,07","","6,60%"
"01/01/2002","61,04","61,04","61,04","61,04","","-7,96%"
"01/12/2001","66,32","66,32","66,32","66,32","","10,37%"
"01/11/2001","60,09","60,09","60,09","60,09","","-2,32%"
"01/10/2001","61,52","61,52","61,52","61,52","","-9,62%"
"01/09/2001","68,07","68,07","68,07","68,07","","11,04%"
"01/08/2001","61,30","61,30","61,30","61,30","","-1,45%"
"01/07/2001","62,20","62,20","62,20","62,20","","-2,29%"
"01/06/2001","63,66","63,66","63,66","63,66","","-2,72%"
"01/05/2001","65,44","65,44","65,44","65,44","","1,19%"
"01/04/2001","64,67","64,67","64,67","64,67","","0,53%"
"01/03/2001","64,33","64,33","64,33","64,33","","-4,87%"
"01/02/2001","67,62","67,62","67,62","67,62","","-7,18%"
"01/01/2001","72,85","72,85","72,85","72,85","","3,89%"
"01/12/2000","70,12","70,12","70,12","70,12","","-2,60%"
"01/11/2000","71,99","71,99","71,99","71,99","","-1,81%"
"01/10/2000","73,32","73,32","73,32","73,32","","-3,44%"
"01/09/2000","75,93","75,93","75,93","75,93","","-1,92%"
"01/08/2000","77,42","77,42","77,42","77,42","","-1,09%"
"01/07/2000","78,27","78,27","78,27","78,27","","-0,89%"
"01/06/2000","78,97","78,97","78,97","78,97","","1,46%"
"01/05/2000","77,83","77,83","77,83","77,83","","-0,99%"
"01/04/2000","78,61","78,61","78,61","78,61","","-1,40%"
"01/03/2000","79,73","79,73","79,73","79,73","","-1,24%"
"01/02/2000","80,73","80,73","80,73","80,73","","-4,16%"
"01/01/2000","84,23","84,23","84,23","84,23","","-2,49%"
