"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/10/2024","8,3336","8,3183","8,3741","8,3031","","-0,18%"
"30/10/2024","8,3488","8,3944","8,4046","8,3386","","-0,54%"
"29/10/2024","8,3944","8,3336","8,4147","8,3285","","0,73%"
"28/10/2024","8,3336","8,3843","8,4147","8,3183","","-1,08%"
"25/10/2024","8,4249","8,5314","8,5415","8,4096","","-1,48%"
"24/10/2024","8,5517","8,5162","8,5973","8,5060","","0,60%"
"23/10/2024","8,5009","8,4502","8,5212","8,3995","","0,60%"
"22/10/2024","8,4502","8,2930","8,4553","8,2828","","1,71%"
"21/10/2024","8,3082","8,2017","8,3538","8,1966","","1,17%"
"18/10/2024","8,2118","8,2727","8,3031","8,1915","","-0,49%"
"17/10/2024","8,2524","8,2220","8,2625","8,0952","","0,49%"
"16/10/2024","8,2118","8,1712","8,2524","8,1408","","0,87%"
"15/10/2024","8,1408","8,2575","8,2676","8,1256","","-1,71%"
"14/10/2024","8,2828","8,4096","8,4198","8,2778","","-1,80%"
"11/10/2024","8,4350","8,5212","8,5466","8,4249","","-0,66%"
"10/10/2024","8,4908","8,5720","8,6024","8,4807","","-0,59%"
"09/10/2024","8,5415","8,5415","8,5922","8,5263","","0,06%"
"08/10/2024","8,5364","8,6632","8,6683","8,5060","","-1,23%"
"07/10/2024","8,6430","8,5720","8,6632","8,5618","","0,29%"
"04/10/2024","8,6176","8,6531","8,6632","8,5821","","-0,82%"
"03/10/2024","8,6886","8,7748","8,7901","8,6734","","-0,98%"
"02/10/2024","8,7748","8,7292","8,8103","8,7140","","0,82%"
"01/10/2024","8,7038","8,5618","8,7748","8,5567","","1,00%"
"30/09/2024","8,6176","8,4401","8,6785","8,4299","","1,61%"
"27/09/2024","8,4807","8,3386","8,5162","8,3336","","1,15%"
"26/09/2024","8,3843","8,4350","8,5009","8,3691","","-0,48%"
"25/09/2024","8,4249","8,3234","8,4249","8,2879","","0,85%"
"24/09/2024","8,3538","8,3589","8,4857","8,3183","","-0,42%"
"23/09/2024","8,3894","8,1966","8,4046","8,1915","","2,92%"
"20/09/2024","8,1510","8,2473","8,2625","8,1459","","-0,99%"
"19/09/2024","8,2321","8,3183","8,3488","8,2220","","-1,70%"
"18/09/2024","8,3741","8,3995","8,4198","8,3386","","0,06%"
"17/09/2024","8,3691","8,3386","8,3792","8,2879","","0,43%"
"16/09/2024","8,3336","8,3336","8,3640","8,2930","","-0,60%"
"13/09/2024","8,3843","8,2981","8,3995","8,2676","","1,79%"
"12/09/2024","8,2372","8,2270","8,3133","8,0597","","0,31%"
"11/09/2024","8,2118","8,2118","8,2625","8,1408","","0,12%"
"10/09/2024","8,2017","8,2372","8,2676","8,1814","","-0,74%"
"09/09/2024","8,2625","8,2220","8,2778","8,1865","","0,25%"
"06/09/2024","8,2423","8,3285","8,4401","8,2321","","-1,10%"
"05/09/2024","8,3336","8,3640","8,3691","8,2524","","-0,48%"
"04/09/2024","8,3741","8,2879","8,3843","8,2676","","0,86%"
"03/09/2024","8,3031","8,1205","8,3183","8,0850","","2,06%"
"30/08/2024","8,1357","8,0343","8,1510","8,0292","","1,26%"
"29/08/2024","8,0343","7,9430","8,0394","7,9176","","1,34%"
"28/08/2024","7,9278","7,9379","7,9937","7,8872","","-0,51%"
"27/08/2024","7,9684","7,8416","8,0039","7,8111","","1,62%"
"26/08/2024","7,8416","7,9176","7,9176","7,8111","","-1,15%"
"23/08/2024","7,9329","7,9937","8,0394","7,9278","","-0,64%"
"22/08/2024","7,9836","8,0800","8,0952","7,9734","","-1,19%"
"21/08/2024","8,0800","8,1002","8,1256","8,0495","","0,06%"
"20/08/2024","8,0749","8,1002","8,1256","8,0698","","-0,56%"
"19/08/2024","8,1205","7,9988","8,1307","7,9531","","1,97%"
"16/08/2024","7,9633","8,0191","8,0343","7,9126","","-1,13%"
"15/08/2024","8,0546","8,1763","8,1915","8,0444","","-0,94%"
"14/08/2024","8,1307","8,0444","8,1510","8,0242","","0,88%"
"13/08/2024","8,0597","8,1519","8,1519","8,0207","","-1,13%"
"12/08/2024","8,1519","7,9947","8,1870","7,9368","","1,68%"
"09/08/2024","8,0174","8,0362","8,1041","7,9861","","-0,60%"
"08/08/2024","8,0655","8,1592","8,2161","8,0570","","-1,02%"
"07/08/2024","8,1487","8,2125","8,2231","8,1168","","-1,41%"
"06/08/2024","8,2656","8,2497","8,3560","8,2018","","-0,51%"
"05/08/2024","8,3082","8,2231","8,3241","8,0530","","1,10%"
"02/08/2024","8,2178","8,1593","8,2444","8,1168","","1,18%"
"01/08/2024","8,1221","8,1381","8,1540","8,0424","","-0,20%"
"31/07/2024","8,1381","8,2497","8,3028","8,1062","","-1,54%"
"30/07/2024","8,2656","8,4038","8,4092","8,2497","","-1,89%"
"29/07/2024","8,4251","8,3347","8,4304","8,2922","","0,44%"
"26/07/2024","8,3879","8,6324","8,6430","8,3826","","-2,83%"
"25/07/2024","8,6324","8,5580","8,6909","8,5474","","0,56%"
"24/07/2024","8,5846","8,5101","8,7068","8,4836","","0,31%"
"23/07/2024","8,5580","8,4995","8,6537","8,4464","","0,56%"
"22/07/2024","8,5101","8,3773","8,5208","8,3719","","2,50%"
"19/07/2024","8,3028","8,3135","8,4251","8,2922","","-0,19%"
"18/07/2024","8,3188","8,4251","8,4304","8,2922","","-1,70%"
"17/07/2024","8,4623","8,4623","8,5048","8,4038","","0,57%"
"16/07/2024","8,4145","8,3666","8,4623","8,3188","","1,35%"
"15/07/2024","8,3028","8,4623","8,4889","8,2975","","-2,86%"
"12/07/2024","8,5474","8,4942","8,6058","8,3135","","0,44%"
"11/07/2024","8,5101","8,4942","8,5686","8,4464","","1,14%"
"10/07/2024","8,4145","8,3719","8,4623","8,3135","","0,44%"
"09/07/2024","8,3773","8,3613","8,4783","8,3294","","0,19%"
"08/07/2024","8,3613","8,6696","8,6802","8,3188","","-4,20%"
"05/07/2024","8,7281","8,6218","8,7653","8,6218","","1,23%"
"03/07/2024","8,6218","8,6749","8,7121","8,5899","","-0,61%"
"02/07/2024","8,6749","8,6590","8,7919","8,6377","","0,24%"
"01/07/2024","8,6537","8,6856","8,7175","8,5314","","-0,12%"
"28/06/2024","8,6643","9,0098","9,1108","8,4995","","-3,55%"
"27/06/2024","8,9832","9,0258","9,0842","8,9779","","-0,71%"
"26/06/2024","9,0470","9,2171","9,2703","9,0417","","-1,45%"
"25/06/2024","9,1799","9,3181","9,3234","9,1267","","-1,76%"
"24/06/2024","9,3447","9,3713","9,3978","9,1586","","-0,23%"
"21/06/2024","9,3659","9,4723","9,5148","9,3606","","-0,96%"
"20/06/2024","9,4563","9,6264","9,6636","9,4404","","-2,41%"
"18/06/2024","9,6902","9,5998","9,7221","9,5573","","1,28%"
"17/06/2024","9,5679","9,6689","9,6742","9,5520","","-1,53%"
"14/06/2024","9,7168","9,8124","9,8922","9,7061","","-1,40%"
"13/06/2024","9,8550","9,7580","9,8667","9,7282","","1,37%"
"12/06/2024","9,7218","9,6397","9,7325","9,5959","","0,82%"
"11/06/2024","9,6429","9,7230","9,7722","9,6333","","-0,52%"
"10/06/2024","9,6931","9,6899","9,7177","9,6203","","0,60%"
"07/06/2024","9,6353","9,7104","9,7104","9,5387","","-0,72%"
"06/06/2024","9,7051","9,4796","9,7104","9,4689","","2,90%"
"05/06/2024","9,4313","9,5064","9,5333","9,4098","","-0,73%"
"04/06/2024","9,5011","9,4796","9,6245","9,4528","","-0,23%"
"03/06/2024","9,5226","9,5709","9,6353","9,4259","","-0,62%"
"31/05/2024","9,5816","9,6836","9,7426","9,5655","","-0,56%"
"30/05/2024","9,6353","9,7641","9,8070","9,6084","","-1,43%"
"29/05/2024","9,7748","9,8929","9,9412","9,7534","","-1,57%"
"28/05/2024","9,9305","10,0862","10,1023","9,8768","","-0,48%"
"24/05/2024","9,9788","10,0110","10,0218","9,8929","","0,16%"
"23/05/2024","9,9627","9,8929","10,0325","9,8446","","0,60%"
"22/05/2024","9,9037","9,9090","9,9466","9,8393","","0,71%"
"21/05/2024","9,8339","9,7963","9,8983","9,7695","","-0,54%"
"20/05/2024","9,8876","9,7534","9,9466","9,7319","","1,77%"
"17/05/2024","9,7158","9,8607","9,8876","9,6836","","-0,98%"
"16/05/2024","9,8124","9,9466","9,9896","9,7909","","-1,19%"
"15/05/2024","9,9305","10,0754","10,1506","9,9090","","-1,07%"
"14/05/2024","10,0379","10,1774","10,2043","10,0164","","-1,06%"
"13/05/2024","10,1452","10,0379","10,2096","9,9949","","0,58%"
"10/05/2024","10,0862","9,8178","10,0915","9,8178","","2,90%"
"09/05/2024","9,8017","9,8929","9,9198","9,7534","","-0,44%"
"08/05/2024","9,8446","10,0057","10,0218","9,8231","","-1,82%"
"07/05/2024","10,0271","10,0754","10,1237","10,0057","","-0,43%"
"06/05/2024","10,0701","9,7909","10,0862","9,7748","","1,90%"
"03/05/2024","9,8822","9,9305","10,0486","9,8178","","0,11%"
"02/05/2024","9,8715","9,6997","9,8822","9,6943","","2,00%"
"01/05/2024","9,6782","9,5870","9,6943","9,5279","","0,90%"
"30/04/2024","9,5923","9,6138","9,6621","9,5440","","-0,56%"
"29/04/2024","9,6460","9,6621","9,6836","9,5655","","-0,17%"
"26/04/2024","9,6621","9,7265","9,7480","9,6460","","-0,44%"
"25/04/2024","9,7051","9,6031","9,7319","9,5870","","0,78%"
"24/04/2024","9,6299","9,7158","9,7534","9,6192","","-0,88%"
"23/04/2024","9,7158","9,6782","9,7319","9,6245","","0,61%"
"22/04/2024","9,6567","9,5064","9,6836","9,4420","","1,52%"
"19/04/2024","9,5118","9,4367","9,5172","9,4152","","1,55%"
"18/04/2024","9,3669","9,4474","9,4689","9,3561","","-1,08%"
"17/04/2024","9,4689","9,4957","9,5387","9,4635","","-0,39%"
"16/04/2024","9,5064","9,5440","9,5548","9,4528","","-0,34%"
"15/04/2024","9,5387","9,5870","9,5923","9,4957","","-0,67%"
"12/04/2024","9,6031","9,4474","9,6460","9,4367","","1,42%"
"11/04/2024","9,4689","9,6135","9,6470","9,4462","","-1,11%"
"10/04/2024","9,5747","9,5237","9,6007","9,5182","","0,72%"
"09/04/2024","9,5063","9,5739","9,5979","9,4736","","-1,03%"
"08/04/2024","9,6056","9,5474","9,6483","9,5189","","0,26%"
"05/04/2024","9,5803","9,6134","9,6741","9,5362","","-0,23%"
"04/04/2024","9,6024","9,5748","9,6134","9,4866","","0,81%"
"03/04/2024","9,5252","9,4259","9,5528","9,3928","","1,23%"
"02/04/2024","9,4094","9,6245","9,6300","9,3652","","-2,07%"
"01/04/2024","9,6079","9,6906","9,7237","9,5362","","-1,47%"
"28/03/2024","9,7513","9,3983","9,8782","9,3983","","3,57%"
"27/03/2024","9,4149","9,4755","9,4976","9,4038","","-1,33%"
"26/03/2024","9,5417","9,6410","9,7237","9,5362","","-1,20%"
"25/03/2024","9,6576","9,6741","9,7293","9,6410","","-0,34%"
"22/03/2024","9,6906","9,6906","9,7403","9,6189","","-0,34%"
"21/03/2024","9,7237","9,8065","9,8175","9,6520","","0,40%"
"20/03/2024","9,6851","9,6796","9,6962","9,6079","","-0,11%"
"19/03/2024","9,6962","9,6410","9,7072","9,6024","","0,80%"
"18/03/2024","9,6189","9,7017","9,7072","9,5748","","-0,17%"
"15/03/2024","9,6355","9,6024","9,7017","9,5252","","0,69%"
"14/03/2024","9,5693","9,7127","9,7513","9,5528","","-1,70%"
"13/03/2024","9,7348","9,7568","9,8065","9,6741","","-0,11%"
"12/03/2024","9,7458","9,7237","9,8175","9,6631","","0,00%"
"11/03/2024","9,7458","9,6465","9,7734","9,5638","","0,45%"
"08/03/2024","9,7017","9,6300","9,7072","9,5197","","0,40%"
"07/03/2024","9,6631","9,4645","9,6796","9,4590","","2,16%"
"06/03/2024","9,4590","9,4038","9,4755","9,3377","","0,59%"
"05/03/2024","9,4038","9,4811","9,4921","9,3763","","-0,87%"
"04/03/2024","9,4866","9,4259","9,5638","9,3983","","1,24%"
"01/03/2024","9,3708","9,4645","9,5086","9,3101","","-1,10%"
"29/02/2024","9,4755","9,4811","9,5307","9,3542","","0,23%"
"28/02/2024","9,4535","9,3487","9,4811","9,3046","","1,18%"
"27/02/2024","9,3432","9,3432","9,4094","9,2991","","0,47%"
"26/02/2024","9,2991","9,1667","9,3211","9,0233","","1,93%"
"23/02/2024","9,1226","9,2825","9,3046","9,0839","","-1,19%"
"22/02/2024","9,2329","9,5142","9,5748","9,1998","","-1,35%"
"21/02/2024","9,3597","9,5142","9,5748","9,3487","","-1,91%"
"20/02/2024","9,5417","9,5142","9,5748","9,4369","","0,70%"
"16/02/2024","9,4755","9,7600","9,8499","9,4369","","-0,06%"
"15/02/2024","9,4811","9,7600","9,8499","9,4755","","-1,71%"
"14/02/2024","9,6465","9,7600","9,8499","9,5969","","-1,35%"
"13/02/2024","9,7789","9,7600","9,8499","9,7132","","0,15%"
"12/02/2024","9,7645","9,7600","9,8180","9,7132","","0,28%"
"09/02/2024","9,7377","9,7871","9,9082","9,7209","","-0,90%"
"08/02/2024","9,8263","10,0213","10,1064","9,7496","","-0,25%"
"07/02/2024","9,8511","10,0213","10,1064","9,8171","","-1,03%"
"06/02/2024","9,9532","10,0213","10,1064","9,9476","","-0,90%"
"05/02/2024","10,0440","10,0213","10,0950","9,9702","","0,00%"
"02/02/2024","10,0440","10,1064","10,1801","9,9022","","-1,01%"
"01/02/2024","10,1461","10,1064","10,1801","9,9022","","-0,22%"
"31/01/2024","10,1687","10,1064","10,1801","9,9022","","0,11%"
"30/01/2024","10,1574","10,1064","10,1631","9,9022","","1,70%"
"29/01/2024","9,9873","10,1064","10,1064","9,9249","","-1,34%"
"26/01/2024","10,1234","10,2595","10,2822","10,1064","","-1,22%"
"25/01/2024","10,2481","10,2595","10,2822","10,1574","","-0,11%"
"24/01/2024","10,2595","10,1404","10,2652","10,1290","","1,29%"
"23/01/2024","10,1290","10,1064","10,2198","10,0723","","0,17%"
"22/01/2024","10,1120","10,1290","10,1631","10,0780","","0,06%"
"19/01/2024","10,1064","10,0837","10,1971","10,0723","","0,34%"
"18/01/2024","10,0723","10,0383","10,0950","9,9079","","0,40%"
"17/01/2024","10,0326","10,0496","10,1631","9,9873","","-0,28%"
"16/01/2024","10,0610","10,1461","10,2368","10,0270","","-0,78%"
"12/01/2024","10,1404","10,3843","10,4296","10,0043","","-2,35%"
"11/01/2024","10,3843","10,4523","10,4693","10,3389","","-0,38%"
"10/01/2024","10,4240","10,4126","10,4750","10,3105","","0,05%"
"09/01/2024","10,4183","10,3162","10,4466","10,2481","","0,93%"
"08/01/2024","10,3219","10,4693","10,4920","10,2538","","-1,25%"
"05/01/2024","10,4523","10,5998","10,6111","10,4353","","-1,23%"
"04/01/2024","10,5827","10,5487","10,6395","10,5147","","0,27%"
"03/01/2024","10,5544","10,5317","10,5714","10,4750","","0,32%"
