"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/10/2024","4,1925","4,2213","4,2313","4,1900","","-0,68%"
"30/10/2024","4,2213","4,1437","4,2338","4,1437","","1,87%"
"29/10/2024","4,1437","4,0337","4,1512","4,0337","","2,73%"
"28/10/2024","4,0337","3,9861","4,0424","3,9624","","1,19%"
"25/10/2024","3,9861","3,9349","3,9886","3,9136","","1,30%"
"24/10/2024","3,9349","4,0111","4,0161","3,9236","","-1,90%"
"23/10/2024","4,0111","3,9586","4,0124","3,9486","","1,33%"
"22/10/2024","3,9586","3,9161","3,9736","3,9161","","1,09%"
"21/10/2024","3,9161","3,8936","3,9261","3,8423","","0,58%"
"18/10/2024","3,8936","3,8861","3,9186","3,8686","","0,19%"
"17/10/2024","3,8861","3,8873","3,9236","3,8548","","-0,03%"
"16/10/2024","3,8873","3,7635","3,8886","3,7635","","3,29%"
"15/10/2024","3,7635","3,7923","3,8148","3,7610","","-0,76%"
"14/10/2024","3,7923","3,8848","3,8848","3,7635","","-2,38%"
"11/10/2024","3,8848","3,8498","3,8973","3,8385","","0,91%"
"10/10/2024","3,8498","3,7810","3,8661","3,7798","","1,82%"
"09/10/2024","3,7810","3,8611","3,8611","3,7560","","-2,07%"
"08/10/2024","3,8611","3,8435","3,8736","3,8248","","0,46%"
"07/10/2024","3,8435","3,8098","3,8686","3,7973","","0,88%"
"04/10/2024","3,8098","3,8223","3,8536","3,7910","","-0,33%"
"03/10/2024","3,8223","3,8398","3,8410","3,7535","","-0,46%"
"02/10/2024","3,8398","3,7322","3,8423","3,7322","","2,88%"
"01/10/2024","3,7322","3,6659","3,7660","3,6609","","1,81%"
"30/09/2024","3,6659","3,6709","3,6910","3,6222","","-0,14%"
"27/09/2024","3,6709","3,6985","3,7547","3,6334","","-0,75%"
"26/09/2024","3,6985","3,7472","3,7472","3,6422","","-1,30%"
"25/09/2024","3,7472","3,7510","3,7673","3,7235","","-0,10%"
"24/09/2024","3,7510","3,7460","3,7910","3,7410","","0,13%"
"23/09/2024","3,7460","3,7135","3,7585","3,7097","","0,88%"
"20/09/2024","3,7135","3,7172","3,7347","3,7060","","-0,10%"
"19/09/2024","3,7172","3,6960","3,7260","3,6885","","0,57%"
"18/09/2024","3,6960","3,6872","3,7047","3,6772","","0,24%"
"17/09/2024","3,6872","3,6109","3,6972","3,6109","","2,11%"
"16/09/2024","3,6109","3,5671","3,6434","3,5671","","1,23%"
"13/09/2024","3,5671","3,5814","3,6194","3,5637","","-0,40%"
"12/09/2024","3,5814","3,6193","3,6285","3,5809","","-1,05%"
"11/09/2024","3,6193","3,5637","3,6203","3,5630","","1,56%"
"10/09/2024","3,5637","3,5725","3,6037","3,5482","","-0,25%"
"09/09/2024","3,5725","3,6042","3,6144","3,5578","","-0,88%"
"06/09/2024","3,6042","3,6586","3,6847","3,6031","","-1,49%"
"05/09/2024","3,6586","3,6983","3,7074","3,6507","","-1,07%"
"04/09/2024","3,6983","3,7414","3,7799","3,6972","","-1,15%"
"03/09/2024","3,7414","3,7278","3,7572","3,6620","","0,36%"
"30/08/2024","3,7278","3,7255","3,7606","3,7153","","0,06%"
"29/08/2024","3,7255","3,7028","3,7300","3,6836","","0,61%"
"28/08/2024","3,7028","3,7210","3,7368","3,6960","","-0,49%"
"27/08/2024","3,7210","3,6450","3,7391","3,6212","","2,09%"
"26/08/2024","3,6450","3,6518","3,6915","3,6190","","-0,19%"
"23/08/2024","3,6518","3,6099","3,6677","3,6054","","1,16%"
"22/08/2024","3,6099","3,4523","3,6167","3,3979","","4,57%"
"21/08/2024","3,4523","3,4637","3,5419","3,4365","","-0,33%"
"20/08/2024","3,4637","3,4818","3,4875","3,4489","","-0,52%"
"19/08/2024","3,4818","3,4036","3,5022","3,3911","","2,30%"
"16/08/2024","3,4036","3,4682","3,4762","3,3855","","-1,86%"
"15/08/2024","3,4682","3,4421","3,4830","3,3923","","0,76%"
"14/08/2024","3,4421","3,3027","3,4489","3,3027","","4,22%"
"13/08/2024","3,3027","3,3696","3,3696","3,2347","","-1,99%"
"12/08/2024","3,3696","3,3537","3,3798","3,3277","","0,47%"
"09/08/2024","3,3537","3,3379","3,3696","3,3107","","0,47%"
"08/08/2024","3,3379","3,3809","3,3809","3,2801","","-1,27%"
"07/08/2024","3,3809","3,4637","3,4637","3,3605","","-2,39%"
"06/08/2024","3,4637","3,4331","3,5124","3,3934","","0,89%"
"05/08/2024","3,4331","3,4716","3,4716","3,3515","","-1,11%"
"02/08/2024","3,4716","3,4920","3,5000","3,4489","","-0,58%"
"01/08/2024","3,4920","3,4421","3,5056","3,4421","","1,45%"
"31/07/2024","3,4421","3,3900","3,4478","3,3787","","1,54%"
"30/07/2024","3,3900","3,3923","3,4263","3,3628","","-0,07%"
"29/07/2024","3,3923","3,5453","3,5453","3,3753","","-4,32%"
"26/07/2024","3,5453","3,5272","3,5612","3,5192","","0,51%"
"25/07/2024","3,5272","3,5374","3,5646","3,4762","","-0,29%"
"24/07/2024","3,5374","3,4966","3,5385","3,4750","","1,17%"
"23/07/2024","3,4966","3,4444","3,5192","3,4444","","1,52%"
"22/07/2024","3,4444","3,3798","3,4478","3,3798","","1,91%"
"19/07/2024","3,3798","3,3560","3,4002","3,3503","","0,71%"
"18/07/2024","3,3560","3,3401","3,3696","3,3061","","0,48%"
"17/07/2024","3,3401","3,2733","3,3515","3,2733","","2,04%"
"16/07/2024","3,2733","3,1633","3,2857","3,1633","","3,48%"
"15/07/2024","3,1633","3,1803","3,2143","3,1384","","-0,53%"
"12/07/2024","3,1803","3,1392","3,2256","3,1392","","1,31%"
"11/07/2024","3,1392","3,0797","3,1719","3,0631","","1,93%"
"10/07/2024","3,0797","3,2065","3,2065","3,0764","","-3,95%"
"09/07/2024","3,2065","3,2537","3,2775","3,2051","","-1,45%"
"08/07/2024","3,2537","3,2410","3,2900","3,2410","","0,39%"
"05/07/2024","3,2410","3,2646","3,2937","3,2237","","-0,72%"
"03/07/2024","3,2646","3,2628","3,2855","3,2446","","0,06%"
"02/07/2024","3,2628","3,2046","3,2728","3,1901","","1,82%"
"01/07/2024","3,2046","3,2528","3,3137","3,1946","","-1,48%"
"28/06/2024","3,2528","3,2019","3,2782","3,1874","","1,59%"
"27/06/2024","3,2019","3,2337","3,2664","3,1837","","-0,98%"
"26/06/2024","3,2337","3,1528","3,2473","3,1419","","2,57%"
"25/06/2024","3,1528","3,1519","3,2210","3,1410","","0,03%"
"24/06/2024","3,1519","3,2464","3,2464","3,1356","","-2,91%"
"21/06/2024","3,2464","3,2391","3,2610","3,2201","","0,23%"
"20/06/2024","3,2391","3,3282","3,3282","3,2255","","-2,68%"
"18/06/2024","3,3282","3,3391","3,3564","3,2946","","-0,33%"
"17/06/2024","3,3391","3,2873","3,3564","3,2873","","1,58%"
"14/06/2024","3,2873","3,2201","3,3064","3,1528","","2,09%"
"13/06/2024","3,2201","3,2656","3,2919","3,2127","","-1,39%"
"12/06/2024","3,2656","3,2270","3,3008","3,2270","","1,20%"
"11/06/2024","3,2270","3,2563","3,2746","3,2226","","-0,90%"
"10/06/2024","3,2563","3,2834","3,2991","3,2457","","-0,83%"
"07/06/2024","3,2834","3,2650","3,2887","3,2369","","0,56%"
"06/06/2024","3,2650","3,2378","3,2755","3,2255","","0,84%"
"05/06/2024","3,2378","3,2984","3,2984","3,2246","","-1,84%"
"04/06/2024","3,2984","3,3809","3,3809","3,2896","","-2,44%"
"03/06/2024","3,3809","3,4107","3,4467","3,3791","","-0,87%"
"31/05/2024","3,4107","3,4046","3,4230","3,3827","","0,18%"
"30/05/2024","3,4046","3,3827","3,4239","3,3686","","0,65%"
"29/05/2024","3,3827","3,3897","3,4336","3,3712","","-0,21%"
"28/05/2024","3,3897","3,4143","3,4143","3,3721","","-0,72%"
"24/05/2024","3,4143","3,4230","3,4345","3,4037","","-0,25%"
"23/05/2024","3,4230","3,4459","3,4775","3,4107","","-0,66%"
"22/05/2024","3,4459","3,4880","3,4880","3,4292","","-1,21%"
"21/05/2024","3,4880","3,5100","3,5100","3,4643","","-0,63%"
"20/05/2024","3,5100","3,5135","3,5389","3,4871","","-0,10%"
"17/05/2024","3,5135","3,5688","3,5688","3,4985","","-1,55%"
"16/05/2024","3,5688","3,5424","3,6179","3,4933","","0,75%"
"15/05/2024","3,5424","3,5442","3,5574","3,5231","","-0,05%"
"14/05/2024","3,5442","3,5135","3,5723","3,5135","","0,87%"
"13/05/2024","3,5135","3,5594","3,5929","3,5036","","-1,29%"
"10/05/2024","3,5594","3,5416","3,6055","3,5416","","0,50%"
"09/05/2024","3,5416","3,5831","3,5997","3,5378","","-1,16%"
"08/05/2024","3,5831","3,5719","3,6083","3,5321","","0,31%"
"07/05/2024","3,5719","3,5665","3,6509","3,5637","","0,15%"
"06/05/2024","3,5665","3,5946","3,5964","3,5546","","-0,78%"
"03/05/2024","3,5946","3,6300","3,6300","3,5901","","-0,98%"
"02/05/2024","3,6300","3,6482","3,6573","3,6110","","-0,50%"
"01/05/2024","3,6482","3,7227","3,7572","3,6446","","-2,00%"
"30/04/2024","3,7227","3,7227","3,7735","3,7063","","0,00%"
"29/04/2024","3,7227","3,7227","3,7417","3,6818","","0,00%"
"26/04/2024","3,7227","3,8144","3,8144","3,7136","","-2,40%"
"25/04/2024","3,8144","3,9034","3,9034","3,7944","","-2,28%"
"24/04/2024","3,9034","3,9216","3,9370","3,8834","","-0,46%"
"23/04/2024","3,9216","3,8326","3,9424","3,8326","","2,32%"
"22/04/2024","3,8326","3,8080","3,8462","3,7944","","0,65%"
"19/04/2024","3,8080","3,7308","3,8089","3,7236","","2,07%"
"18/04/2024","3,7308","3,7317","3,7354","3,6754","","-0,02%"
"17/04/2024","3,7317","3,7354","3,7599","3,7163","","-0,10%"
"16/04/2024","3,7354","3,7218","3,7853","3,7136","","0,37%"
"15/04/2024","3,7218","3,7081","3,7336","3,6718","","0,37%"
"12/04/2024","3,7081","3,8435","3,8516","3,7072","","-3,52%"
"11/04/2024","3,8435","3,8344","3,8743","3,8198","","0,24%"
"10/04/2024","3,8344","3,9443","3,9788","3,8089","","-2,79%"
"09/04/2024","3,9443","3,9206","3,9661","3,8952","","0,60%"
"08/04/2024","3,9206","3,9197","3,9361","3,8734","","0,02%"
"05/04/2024","3,9197","3,8144","3,9225","3,8144","","2,76%"
"04/04/2024","3,8144","3,8053","3,8289","3,7762","","0,24%"
"03/04/2024","3,8053","3,7681","3,8398","3,7681","","0,99%"
"02/04/2024","3,7681","3,7599","3,8044","3,7390","","0,22%"
"01/04/2024","3,7599","3,6854","3,7862","3,6391","","2,02%"
"28/03/2024","3,6854","3,6909","3,7354","3,6591","","-0,15%"
"27/03/2024","3,6909","3,6818","3,7190","3,6791","","0,25%"
"26/03/2024","3,6818","3,6936","3,7308","3,6773","","-0,32%"
"25/03/2024","3,6936","3,6219","3,7000","3,6055","","1,98%"
"22/03/2024","3,6219","3,6073","3,6446","3,5828","","0,40%"
"21/03/2024","3,6073","3,6555","3,6673","3,5901","","-1,32%"
"20/03/2024","3,6555","3,6782","3,7054","3,6427","","-0,62%"
"19/03/2024","3,6782","3,7426","3,7426","3,6373","","-1,72%"
"18/03/2024","3,7426","3,7227","3,7590","3,7127","","0,53%"
"15/03/2024","3,7227","3,6845","3,7399","3,6673","","1,04%"
"14/03/2024","3,6845","3,6954","3,7027","3,6654","","-0,29%"
"13/03/2024","3,6954","3,7133","3,7133","3,6616","","-0,48%"
"12/03/2024","3,7133","3,6541","3,7193","3,6382","","1,62%"
"11/03/2024","3,6541","3,6934","3,7174","3,6531","","-1,06%"
"08/03/2024","3,6934","3,6927","3,7156","3,6807","","0,02%"
"07/03/2024","3,6927","3,7135","3,7299","3,6873","","-0,56%"
"06/03/2024","3,7135","3,7211","3,7222","3,6643","","-0,20%"
"05/03/2024","3,7211","3,7692","3,7692","3,6971","","-1,28%"
"04/03/2024","3,7692","3,8478","3,8478","3,7659","","-2,04%"
"01/03/2024","3,8478","3,7845","3,8544","3,7419","","1,67%"
"29/02/2024","3,7845","3,7572","3,8052","3,7539","","0,73%"
"28/02/2024","3,7572","3,7528","3,8096","3,7462","","0,12%"
"27/02/2024","3,7528","3,7692","3,7899","3,7495","","-0,44%"
"26/02/2024","3,7692","3,8096","3,8096","3,7364","","-1,06%"
"23/02/2024","3,8096","3,8096","3,8522","3,8041","","0,00%"
"22/02/2024","3,8096","3,7233","3,8828","3,7233","","1,42%"
"21/02/2024","3,7561","3,7233","3,8019","3,7233","","0,35%"
"20/02/2024","3,7430","3,7233","3,8019","3,7233","","0,53%"
"16/02/2024","3,7233","3,5453","3,7462","3,5060","","0,26%"
"15/02/2024","3,7135","3,5453","3,7462","3,5060","","0,56%"
"14/02/2024","3,6927","3,5453","3,7015","3,5060","","4,25%"
"13/02/2024","3,5420","3,5453","3,5682","3,5060","","-0,06%"
"12/02/2024","3,5442","3,5453","3,5682","3,5103","","-0,03%"
"09/02/2024","3,5453","3,5103","3,5988","3,5103","","1,00%"
"08/02/2024","3,5103","3,6621","3,6621","3,4819","","-0,93%"
"07/02/2024","3,5431","3,6621","3,6621","3,5398","","-0,18%"
"06/02/2024","3,5496","3,6621","3,6621","3,5398","","-1,16%"
"05/02/2024","3,5911","3,6621","3,6621","3,5857","","-1,94%"
"02/02/2024","3,6621","3,6370","3,7539","3,6086","","0,09%"
"01/02/2024","3,6589","3,6370","3,7539","3,6086","","-1,27%"
"31/01/2024","3,7058","3,6370","3,7539","3,6086","","-0,09%"
"30/01/2024","3,7091","3,6370","3,7539","3,6086","","1,77%"
"29/01/2024","3,6447","3,6370","3,6458","3,6086","","0,21%"
"26/01/2024","3,6370","3,5835","3,6687","3,5704","","0,85%"
"25/01/2024","3,6064","3,5835","3,6195","3,5704","","0,64%"
"24/01/2024","3,5835","3,5092","3,5846","3,4863","","2,12%"
