"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"07/11/2024","181,29","181,07","182,13","177,66","","0,67%"
"06/11/2024","180,08","180,44","182,33","175,99","","-0,72%"
"05/11/2024","181,38","180,01","182,81","179,67","","0,88%"
"04/11/2024","179,80","177,42","180,74","177,37","","2,56%"
"01/11/2024","175,32","177,63","179,76","175,17","","0,32%"
"31/10/2024","174,76","173,55","175,77","172,40","","0,99%"
"30/10/2024","173,04","170,15","174,15","169,95","","2,24%"
"29/10/2024","169,25","170,34","172,29","168,10","","-0,39%"
"28/10/2024","169,91","173,03","173,48","169,33","","-5,77%"
"25/10/2024","180,31","177,08","180,67","176,14","","2,05%"
"24/10/2024","176,69","179,67","181,33","175,87","","-0,66%"
"23/10/2024","177,86","179,60","180,16","176,66","","-1,27%"
"22/10/2024","180,15","175,39","180,73","174,46","","2,45%"
"21/10/2024","175,84","172,81","176,79","172,79","","1,60%"
"18/10/2024","173,06","176,63","177,58","172,00","","-1,88%"
"17/10/2024","176,38","177,10","177,42","173,93","","0,36%"
"16/10/2024","175,75","176,97","177,66","174,21","","-0,24%"
"15/10/2024","176,17","178,54","179,02","174,56","","-4,21%"
"14/10/2024","183,92","185,15","186,02","182,82","","-2,07%"
"11/10/2024","187,81","187,57","188,79","185,33","","-0,10%"
"10/10/2024","187,99","182,57","188,51","182,42","","3,29%"
"09/10/2024","182,00","183,79","185,05","178,62","","-0,65%"
"08/10/2024","183,20","190,06","190,19","181,48","","-4,36%"
"07/10/2024","191,56","184,26","191,69","184,20","","3,44%"
"04/10/2024","185,19","183,94","187,53","183,44","","0,88%"
"03/10/2024","183,57","176,90","183,72","175,98","","4,88%"
"02/10/2024","175,04","176,82","180,22","174,45","","0,27%"
"01/10/2024","174,57","170,86","178,54","166,30","","2,17%"
"30/09/2024","170,85","170,58","173,19","169,09","","0,31%"
"27/09/2024","170,33","168,85","171,33","167,92","","0,38%"
"26/09/2024","169,69","174,29","174,29","167,82","","-2,41%"
"25/09/2024","173,88","176,85","177,36","172,96","","-1,77%"
"24/09/2024","177,02","175,10","178,64","174,86","","1,68%"
"23/09/2024","174,09","176,98","177,33","172,34","","-0,85%"
"20/09/2024","175,58","175,65","176,59","174,40","","-0,41%"
"19/09/2024","176,30","172,35","177,03","172,33","","1,64%"
"18/09/2024","173,44","172,87","174,30","170,32","","0,10%"
"17/09/2024","173,28","171,80","174,41","169,92","","1,35%"
"16/09/2024","170,98","168,72","172,41","168,14","","1,29%"
"13/09/2024","168,79","170,59","172,31","168,55","","-0,71%"
"12/09/2024","170,00","166,90","171,68","166,84","","2,24%"
"11/09/2024","166,28","164,17","167,32","162,79","","1,67%"
"10/09/2024","163,56","170,19","170,21","162,42","","-3,51%"
"09/09/2024","169,51","170,13","170,82","166,95","","0,96%"
"06/09/2024","167,90","172,06","173,58","166,95","","-2,20%"
