"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/10/2024","4,5196","4,5018","4,5414","4,4661","","-0,48%"
"30/10/2024","4,5414","4,5434","4,5968","4,4701","","0,48%"
"29/10/2024","4,5196","4,4344","4,5374","4,4206","","2,10%"
"28/10/2024","4,4265","4,4622","4,5275","4,4206","","-1,80%"
"25/10/2024","4,5077","4,6166","4,6246","4,4840","","-2,15%"
"24/10/2024","4,6067","4,6008","4,6166","4,5572","","0,52%"
"23/10/2024","4,5830","4,5394","4,6166","4,4859","","0,43%"
"22/10/2024","4,5632","4,4919","4,5850","4,4820","","0,66%"
"21/10/2024","4,5335","4,5394","4,6285","4,5216","","-0,09%"
"18/10/2024","4,5374","4,6998","4,7177","4,5176","","-2,84%"
"17/10/2024","4,6701","4,6563","4,6860","4,5671","","0,77%"
"16/10/2024","4,6345","4,6127","4,6523","4,5572","","0,95%"
"15/10/2024","4,5909","4,6147","4,6404","4,5790","","-0,98%"
"14/10/2024","4,6365","4,7335","4,7592","4,6285","","-2,29%"
"11/10/2024","4,7454","4,8088","4,8424","4,6959","","-0,79%"
"10/10/2024","4,7830","4,8226","4,8266","4,7434","","0,79%"
"09/10/2024","4,7454","4,7335","4,7890","4,7137","","0,72%"
"08/10/2024","4,7117","4,7394","4,7414","4,6543","","0,38%"
"07/10/2024","4,6939","4,6404","4,7157","4,6285","","0,47%"
"04/10/2024","4,6721","4,7533","4,7573","4,6503","","-2,28%"
"03/10/2024","4,7810","4,8642","4,8880","4,7652","","-1,91%"
"02/10/2024","4,8741","4,7493","4,8880","4,7355","","2,71%"
"01/10/2024","4,7454","4,5909","4,7731","4,5711","","2,57%"
"30/09/2024","4,6266","4,5632","4,6761","4,5592","","0,69%"
"27/09/2024","4,5949","4,5889","4,6206","4,5592","","-0,73%"
"26/09/2024","4,6285","4,6979","4,7236","4,6166","","-0,85%"
"25/09/2024","4,6681","4,5533","4,6820","4,5453","","1,95%"
"24/09/2024","4,5790","4,5889","4,6681","4,5572","","-0,77%"
"23/09/2024","4,6147","4,5473","4,6444","4,5275","","2,46%"
"20/09/2024","4,5038","4,5236","4,5612","4,4879","","0,53%"
"19/09/2024","4,4800","4,5295","4,5394","4,4681","","-1,78%"
"18/09/2024","4,5612","4,5929","4,6166","4,5394","","0,00%"
"17/09/2024","4,5612","4,6067","4,6266","4,5255","","-0,48%"
"16/09/2024","4,5830","4,6959","4,6959","4,5493","","-2,73%"
"13/09/2024","4,7117","4,6127","4,7434","4,5869","","2,81%"
"12/09/2024","4,5830","4,5850","4,6879","4,5434","","-0,13%"
"11/09/2024","4,5889","4,5553","4,6127","4,5434","","0,87%"
"10/09/2024","4,5493","4,5077","4,5830","4,4820","","1,01%"
"09/09/2024","4,5038","4,4740","4,5137","4,4404","","0,26%"
"06/09/2024","4,4919","4,5275","4,5929","4,4820","","-1,35%"
"05/09/2024","4,5533","4,5632","4,5869","4,4919","","-1,03%"
"04/09/2024","4,6008","4,4939","4,6166","4,4701","","2,47%"
