"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/04/2025","24,3982","27,0822","28,0770","23,2270","","-9,91%"
"01/03/2025","27,0822","26,6043","29,8349","26,6043","","1,80%"
"01/02/2025","26,6043","26,3105","30,4400","26,0424","","1,12%"
"01/01/2025","26,3105","22,2649","26,3453","21,9306","0,02K","18,17%"
"01/12/2024","22,2649","22,1465","24,2563","20,2351","0,02K","0,53%"
"01/11/2024","22,1465","17,0944","23,3477","16,7746","0,01K","29,55%"
"01/10/2024","17,0944","18,7872","18,8428","16,9310","","-9,01%"
"01/09/2024","18,7872","16,9658","19,1104","16,3645","","10,74%"
"01/08/2024","16,9658","15,6686","18,0329","15,1114","","8,28%"
"01/07/2024","15,6686","15,5045","17,4529","14,9747","","1,06%"
"01/06/2024","15,5045","15,2318","16,4203","14,7583","","1,79%"
"01/05/2024","15,2318","14,8413","16,2867","13,1630","","2,63%"
"01/04/2024","14,8413","12,8183","16,7799","12,7402","","15,78%"
"01/03/2024","12,8183","12,5128","13,2154","12,1803","","2,44%"
"01/02/2024","12,5128","12,8848","13,1601","12,0479","","-2,99%"
"01/01/2024","12,8981","12,5159","13,1241","11,6684","","3,05%"
"01/12/2023","12,5159","12,2766","13,4830","11,6385","","1,95%"
"01/11/2023","12,2766","10,8983","12,3264","10,3446","","12,65%"
"01/10/2023","10,8983","9,5205","11,0090","9,3609","","14,47%"
"01/09/2023","9,5205","10,0645","10,7127","9,4424","","-5,41%"
"01/08/2023","10,0645","10,7004","10,9247","9,5889","","-5,94%"
"01/07/2023","10,7004","10,3333","10,7492","10,0798","","3,55%"
"01/06/2023","10,3333","11,3594","12,4798","10,2553","","-9,03%"
"01/05/2023","11,3594","11,8236","12,3608","11,1686","","-3,93%"
"01/04/2023","11,8236","10,7353","12,9903","10,7353","","10,14%"
"01/03/2023","10,7353","11,7301","11,7364","10,4677","","-8,48%"
"01/02/2023","11,7301","11,4436","12,2118","10,7919","","2,50%"
"01/01/2023","11,4436","10,5338","11,5034","8,9817","","8,64%"
"01/12/2022","10,5338","10,6975","11,0092","9,7341","","-1,53%"
"01/11/2022","10,6975","10,9915","11,3440","9,6995","","-2,67%"
"01/10/2022","10,9915","13,7038","13,9976","10,3853","","-19,79%"
"01/09/2022","13,7038","14,5512","14,6192","13,0574","","-5,82%"
"01/08/2022","14,5512","13,1947","15,0244","12,5113","","10,28%"
"01/07/2022","13,1947","13,9784","14,3368","11,8248","","-5,61%"
"01/06/2022","13,9784","14,0543","14,7016","13,1977","","-0,54%"
"01/05/2022","14,0543","13,4982","14,2002","12,3070","","4,12%"
"01/04/2022","13,4982","13,7584","14,4372","13,0242","","-1,89%"
