"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/04/2025","351,25","426,51","428,61","343,95","","-16,73%"
"01/03/2025","421,82","383,73","445,78","378,96","","10,69%"
"01/02/2025","381,09","354,84","409,29","354,12","","5,26%"
"01/01/2025","362,03","343,00","378,11","338,89","0,02K","6,27%"
"01/12/2024","340,67","348,58","366,73","339,06","0,02K","-2,74%"
"01/11/2024","350,27","373,87","384,66","343,93","0,01K","-5,73%"
"01/10/2024","371,56","390,44","399,47","367,62","","-4,68%"
"01/09/2024","389,79","358,42","399,77","346,05","","8,11%"
"01/08/2024","360,56","362,58","369,63","339,52","","-0,11%"
"01/07/2024","360,94","378,74","406,10","348,54","","-4,90%"
"01/06/2024","379,52","402,07","405,10","374,16","","-4,48%"
"01/05/2024","397,33","391,28","448,78","385,67","","0,82%"
"01/04/2024","394,09","351,36","405,18","349,54","","13,26%"
"01/03/2024","347,93","334,48","361,52","331,57","","4,16%"
"01/02/2024","334,04","336,59","344,71","319,27","","-2,09%"
"01/01/2024","341,18","340,39","344,71","324,45","","0,40%"
"01/12/2023","339,82","337,38","347,07","326,02","","1,04%"
"01/11/2023","336,33","321,58","337,20","316,53","","4,36%"
"01/10/2023","322,29","330,15","332,23","310,90","","-2,37%"
"01/09/2023","330,11","340,75","345,17","320,22","","-2,21%"
"01/08/2023","337,57","356,75","357,32","325,03","","-5,45%"
"01/07/2023","357,01","337,91","357,55","331,63","","6,61%"
"01/06/2023","334,88","329,41","352,96","328,06","","3,08%"
"01/05/2023","324,86","346,07","357,68","316,77","","-6,52%"
"01/04/2023","347,50","364,13","373,87","340,93","","-5,03%"
"01/03/2023","365,91","366,99","372,17","341,56","","0,12%"
"01/02/2023","365,47","376,60","378,04","351,88","","-3,55%"
"01/01/2023","378,93","345,67","390,41","332,57","","10,90%"
"01/12/2022","341,68","338,63","353,42","333,92","","1,94%"
"01/11/2022","335,17","305,61","350,78","302,53","","10,99%"
"01/10/2022","301,99","304,76","321,41","295,64","","-1,10%"
"01/09/2022","305,35","311,48","330,27","290,27","","-3,01%"
"01/08/2022","314,83","319,00","338,45","306,93","","-1,86%"
"01/07/2022","320,80","329,01","331,26","281,21","","-3,68%"
"01/06/2022","333,05","386,08","411,83","327,04","","-13,89%"
"01/05/2022","386,80","388,37","398,68","363,48","","-2,55%"
"01/04/2022","396,93","427,80","438,77","395,17","","-7,50%"
"01/03/2022","429,11","406,39","454,26","403,78","","6,66%"
"01/02/2022","402,33","390,61","424,52","389,66","","2,96%"
"01/01/2022","390,75","402,22","415,69","387,00","","-3,11%"
"01/12/2021","403,31","390,57","406,43","372,27","","4,29%"
"01/11/2021","386,73","395,20","406,43","382,30","","-1,80%"
"01/10/2021","393,80","367,03","434,06","365,99","","6,82%"
"01/09/2021","368,65","392,13","403,04","362,11","","-6,54%"
"01/08/2021","394,43","403,42","407,55","357,65","","-2,20%"
"01/07/2021","403,33","386,23","415,92","375,03","","4,51%"
"01/06/2021","385,91","421,84","424,00","368,55","","-8,45%"
"01/05/2021","421,52","404,04","440,36","399,71","","4,69%"
"01/04/2021","402,64","361,24","409,99","356,00","","11,66%"
"01/03/2021","360,60","375,31","381,32","354,74","","-2,37%"
"01/02/2021","369,36","322,38","394,45","315,97","","15,06%"
"01/01/2021","321,02","322,38","336,60","315,25","","1,05%"
"01/12/2020","317,68","313,21","328,97","310,51","","2,36%"
"01/11/2020","310,37","275,50","316,37","274,06","","12,58%"
"01/10/2020","275,69","275,01","291,02","256,46","","0,49%"
"01/09/2020","274,33","276,50","281,93","263,70","","-0,95%"
"01/08/2020","276,95","260,39","277,49","253,92","","5,92%"
"01/07/2020","261,48","250,50","272,88","246,80","","5,11%"
"01/06/2020","248,76","225,26","249,49","222,37","","11,87%"
"01/05/2020","222,37","211,83","225,95","209,45","","3,48%"
"01/04/2020","214,90","203,27","219,53","198,62","","4,63%"
"01/03/2020","205,39","237,29","240,56","181,84","","-12,28%"
"01/02/2020","234,15","235,18","242,82","230,83","","0,61%"
"01/01/2020","232,73","260,70","266,80","231,48","","-10,01%"
"01/12/2019","258,62","247,15","264,12","242,34","","5,09%"
"01/11/2019","246,09","245,54","253,34","243,08","","0,51%"
"01/10/2019","244,85","237,24","250,23","233,43","","2,31%"
"01/09/2019","239,32","235,70","251,02","230,46","","1,06%"
"01/08/2019","236,82","247,55","248,29","233,48","","-4,59%"
"01/07/2019","248,20","255,51","260,91","243,17","","-1,75%"
"01/06/2019","252,62","245,96","256,02","242,14","","2,75%"
"01/05/2019","245,87","270,83","271,34","244,94","","-9,09%"
"01/04/2019","270,46","276,10","279,44","266,78","","-1,34%"
"01/03/2019","274,14","274,93","277,69","264,80","","-0,41%"
"01/02/2019","275,26","258,97","277,97","257,47","","5,62%"
"01/01/2019","260,61","249,05","261,69","238,05","","5,83%"
"01/12/2018","246,24","265,99","266,93","245,91","","-5,61%"
"01/11/2018","260,89","250,57","266,51","248,87","","4,20%"
"01/10/2018","250,38","263,56","269,83","249,25","","-5,20%"
"01/09/2018","264,13","250,71","270,06","243,04","","5,02%"
"01/08/2018","251,51","266,85","267,26","242,75","","-6,38%"
"01/07/2018","268,65","281,70","281,89","253,66","","-4,53%"
"01/06/2018","281,41","292,93","316,41","280,08","","-3,81%"
"01/05/2018","292,55","292,65","300,52","287,40","","-0,29%"
"01/04/2018","293,41","292,60","306,77","285,26","","0,99%"
"01/03/2018","290,54","301,24","306,48","282,52","","-3,42%"
"01/02/2018","300,81","310,01","315,98","293,01","","-2,59%"
"01/01/2018","308,80","316,53","318,99","300,58","","-3,18%"
"01/12/2017","318,95","296,72","320,88","284,54","","7,72%"
"01/11/2017","296,09","306,25","309,32","295,41","","-1,84%"
"01/10/2017","301,63","288,70","317,00","284,71","","4,94%"
"01/09/2017","287,43","301,78","309,07","281,55","","-4,63%"
"01/08/2017","301,39","284,07","304,79","280,25","","6,39%"
"01/07/2017","283,29","264,77","286,03","257,82","","6,66%"
"01/06/2017","265,61","253,11","266,00","247,65","","4,63%"
"01/05/2017","253,85","255,67","264,18","243,47","","-1,05%"
"01/04/2017","256,56","261,94","266,64","247,01","","-2,28%"
"01/03/2017","262,53","270,65","274,01","253,23","","-2,27%"
"01/02/2017","268,62","271,01","280,05","259,96","","-1,01%"
"01/01/2017","271,36","253,00","271,75","247,38","","8,86%"
"01/12/2016","249,27","262,35","295,28","244,34","","-4,84%"
"01/11/2016","261,95","220,42","273,74","219,82","","18,90%"
