"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/04/2025","22,3874","22,4439","23,0662","20,4494","","-0,40%"
"01/03/2025","22,4776","22,2960","22,7433","21,0347","","2,42%"
"01/02/2025","21,9462","22,3014","23,2915","21,9226","","-2,61%"
"01/01/2025","22,5340","23,5430","23,7516","22,4758","0,02K","-3,68%"
"01/12/2024","23,3959","24,5965","24,6204","23,0847","0,02K","-4,91%"
"01/11/2024","24,6033","24,6610","25,2337","23,3959","0,01K","0,05%"
"01/10/2024","24,5904","25,9229","26,2021","24,4808","","-5,49%"
"01/09/2024","26,0183","24,5091","26,3506","23,8622","","5,17%"
"01/08/2024","24,7388","24,4384","25,2195","23,4204","","1,45%"
"01/07/2024","24,3853","25,7497","26,0678","23,8587","","-5,09%"
"01/06/2024","25,6932","26,8873","26,8943","24,7423","","-4,25%"
"01/05/2024","26,8344","27,5216","29,3117","25,9640","","-2,91%"
"01/04/2024","27,6379","33,2270","33,3996","27,4969","","-15,89%"
"01/03/2024","32,8602","35,4960","36,4993","32,5545","","-8,23%"
"01/02/2024","35,8053","30,6863","37,3264","30,2952","","16,09%"
"01/01/2024","30,8421","29,4008","31,0811","28,8214","","5,15%"
"01/12/2023","29,3320","28,9590","30,0961","28,3579","","1,17%"
"01/11/2023","28,9916","30,2234","30,3730","27,9823","","-4,57%"
"01/10/2023","30,3805","32,8268","33,1709","30,3618","","-6,80%"
"01/09/2023","32,5986","33,0737","33,6647","31,8543","","-0,76%"
"01/08/2023","32,8493","31,9366","33,2270","31,1511","","3,66%"
"01/07/2023","31,6897","30,0588","32,9128","29,5389","","5,41%"
"01/06/2023","30,0626","30,5006","31,6256","28,7309","","-0,77%"
"01/05/2023","30,2973","29,4481","31,9305","28,5117","","3,32%"
"01/04/2023","29,3247","30,2133","30,9252","28,3411","","-2,46%"
"01/03/2023","30,0644","30,7182","31,3210","27,4931","","-1,49%"
"01/02/2023","30,5184","31,3933","31,8643","29,3780","","-3,06%"
"01/01/2023","31,4810","30,8347","32,4522","29,3559","","3,42%"
"01/12/2022","30,4404","30,6448","32,7187","28,7717","","-1,47%"
"01/11/2022","30,8931","25,8715","32,8319","25,8143","","20,01%"
"01/10/2022","25,7428","30,4301","32,3644","25,1064","","-15,63%"
"01/09/2022","30,5124","40,3590","40,4055","29,8974","","-24,62%"
"01/08/2022","40,4770","34,1378","42,7581","32,7542","","17,03%"
"01/07/2022","34,5883","34,6384","35,1675","29,7008","","-2,12%"
"01/06/2022","35,3392","42,4435","44,6345","33,3369","","-16,92%"
"01/05/2022","42,5354","44,6471","47,7260","42,4344","","-4,57%"
"01/04/2022","44,5706","41,0850","46,2447","39,8692","","8,49%"
"01/03/2022","41,0820","35,9078","42,9319","34,9298","","13,91%"
"01/02/2022","36,0652","38,2429","38,3526","35,0782","","-4,64%"
"01/01/2022","37,8189","33,6478","37,8604","33,5025","","13,29%"
"01/12/2021","33,3810","31,2465","34,1873","30,3868","","5,82%"
"01/11/2021","31,5459","33,4563","35,1301","31,5459","","-4,46%"
"01/10/2021","33,0193","30,4750","33,4880","29,7591","","8,55%"
"01/09/2021","30,4175","26,6742","30,4491","25,5875","","14,34%"
"01/08/2021","26,6023","25,7312","27,8041","25,5903","","3,51%"
"01/07/2021","25,6996","24,4921","26,1625","24,4145","","5,29%"
"01/06/2021","24,4087","23,9350","25,4475","23,9292","","2,38%"
"01/05/2021","23,8421","25,6364","26,3825","23,6621","","-6,77%"
"01/04/2021","25,5725","23,9014","26,6090","22,9101","","7,16%"
"01/03/2021","23,8631","26,6424","27,3800","22,7596","","-8,95%"
"01/02/2021","26,2087","24,3690","28,2061","23,9194","","8,43%"
"01/01/2021","24,1712","23,6197","24,8906","23,5747","","3,23%"
"01/12/2020","23,4158","21,7283","23,4728","21,3027","","8,27%"
"01/11/2020","21,6264","21,0953","22,2498","20,9445","","1,97%"
"01/10/2020","21,2091","20,3075","22,3385","19,9597","","4,76%"
"01/09/2020","20,2459","20,1044","20,5967","19,5104","","0,97%"
"01/08/2020","20,0520","19,3658","20,4490","19,1135","","3,99%"
"01/07/2020","19,2827","18,8334","19,9720","18,3195","","2,92%"
"01/06/2020","18,7349","17,8016","19,0225","17,4780","","6,58%"
"01/05/2020","17,5787","17,4719","18,2564","16,2448","","0,45%"
