"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/04/2025","3,6026","3,7431","3,8501","3,4622","","-3,75%"
"01/03/2025","3,7431","3,7095","3,9169","3,5976","","0,91%"
"01/02/2025","3,7095","4,0054","4,2005","3,7073","","-7,39%"
"01/01/2025","4,0054","3,8700","4,1107","3,7344","0,02K","3,50%"
"01/12/2024","3,8700","4,1092","4,2497","3,8129","0,02K","-5,82%"
"01/11/2024","4,1092","4,1925","4,2640","3,9093","0,01K","-1,99%"
"01/10/2024","4,1925","3,6659","4,2338","3,6609","","14,36%"
"01/09/2024","3,6659","3,7278","3,7910","3,5482","","-1,66%"
"01/08/2024","3,7278","3,4421","3,7606","3,2347","","8,30%"
"01/07/2024","3,4421","3,2528","3,5646","3,0631","","5,82%"
"01/06/2024","3,2528","3,4107","3,4467","3,1356","","-4,63%"
"01/05/2024","3,4107","3,7227","3,7572","3,3686","","-8,38%"
"01/04/2024","3,7227","3,6854","3,9788","3,6391","","1,01%"
"01/03/2024","3,6854","3,7845","3,8544","3,5828","","-2,62%"
"01/02/2024","3,7845","3,6370","3,8828","3,4819","","2,12%"
"01/01/2024","3,7058","3,2482","3,7539","3,0869","","14,09%"
"01/12/2023","3,2482","3,4154","3,4561","3,1670","","-4,90%"
"01/11/2023","3,4154","3,5940","3,7218","3,1466","","-4,97%"
"01/10/2023","3,5940","3,5965","3,6904","3,2770","","-0,07%"
"01/09/2023","3,5965","3,7465","3,9422","3,5915","","-4,00%"
"01/08/2023","3,7465","3,9031","3,9337","3,5287","","-4,01%"
"01/07/2023","3,9031","3,6214","3,9392","3,6107","","7,78%"
"01/06/2023","3,6214","3,1003","3,6664","3,0138","","16,81%"
"01/05/2023","3,1003","3,4833","3,4833","2,7571","","-11,00%"
"01/04/2023","3,4833","3,4805","3,5156","3,2165","","0,08%"
"01/03/2023","3,4805","3,8138","3,9270","3,3380","","-8,74%"
"01/02/2023","3,8138","3,8697","4,0231","3,6414","","-1,44%"
"01/01/2023","3,8697","4,3819","4,3931","3,7511","","-11,69%"
"01/12/2022","4,3819","4,2645","4,5880","4,0771","","2,75%"
"01/11/2022","4,2645","4,4096","4,5643","4,1833","","-3,29%"
"01/10/2022","4,4096","3,9579","4,6614","3,8034","","11,41%"
"01/09/2022","3,9579","4,2644","4,6238","3,9111","","-7,19%"
"01/08/2022","4,2644","4,5300","4,7350","4,1933","","-5,86%"
"01/07/2022","4,5300","4,0536","4,5603","4,0536","","11,75%"
"01/06/2022","4,0536","4,2067","4,4404","4,0000","","-3,64%"
"01/05/2022","4,2067","4,2111","4,3946","3,7950","","-0,10%"
"01/04/2022","4,2111","4,7753","4,8722","4,2052","","-11,81%"
"01/03/2022","4,7753","4,6211","5,0375","4,3990","","3,34%"
"01/02/2022","4,6211","4,2728","5,0274","4,2282","","8,15%"
"01/01/2022","4,2728","3,9564","4,3487","3,7558","","8,00%"
"01/12/2021","3,9564","3,8835","4,1057","3,6602","","1,88%"
"01/11/2021","3,8835","3,8601","4,1118","3,7586","","0,61%"
"01/10/2021","3,8601","4,3332","4,3446","3,6419","","-10,92%"
"01/09/2021","4,3332","4,1256","4,3472","3,6191","","5,03%"
"01/08/2021","4,1256","4,0895","4,2580","3,8770","","0,88%"
"01/07/2021","4,0895","4,0412","4,3660","3,8445","","1,20%"
"01/06/2021","4,0412","4,5582","4,7205","3,7790","","-11,34%"
"01/05/2021","4,5582","4,2014","4,5716","4,1209","","8,49%"
"01/04/2021","4,2014","4,0320","4,2120","3,8712","","4,20%"
"01/03/2021","4,0320","3,6515","4,0722","3,5698","","10,42%"
"01/02/2021","3,6515","3,2116","3,7856","3,1592","","13,70%"
"01/01/2021","3,2116","3,1630","3,2503","2,9612","","1,54%"
"01/12/2020","3,1630","3,0865","3,1720","2,8389","","2,48%"
"01/11/2020","3,0865","3,0236","3,1170","2,8311","","2,08%"
"01/10/2020","3,0236","2,9095","3,3568","2,8553","","3,92%"
"01/09/2020","2,9095","2,4325","3,1051","2,4325","","19,61%"
"01/08/2020","2,4325","2,2521","2,5687","2,1818","","8,01%"
"01/07/2020","2,2521","2,2251","2,3611","2,1740","","1,21%"
"01/06/2020","2,2251","2,7524","2,7524","2,1581","","-19,16%"
"01/05/2020","2,7524","2,8573","3,2439","2,6245","","-3,67%"
"01/04/2020","2,8573","2,9240","2,9458","2,0152","","-2,28%"
"01/03/2020","2,9240","3,6542","3,8918","2,8755","","-19,98%"
"01/02/2020","3,6542","3,6146","4,0033","3,5838","","1,10%"
