"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/04/2025","50,2364","54,3615","55,2688","44,1683","","-7,25%"
"01/03/2025","54,1643","50,2850","62,1068","49,0753","","5,72%"
"01/02/2025","51,2318","44,6084","57,5438","42,5508","","25,15%"
"01/01/2025","40,9370","41,5287","50,3912","39,5114","0,02K","-1,74%"
"01/12/2024","41,6632","36,0855","45,2674","33,5821","0,02K","9,86%"
"01/11/2024","37,9236","33,5144","40,8668","32,3078","0,01K","13,31%"
"01/10/2024","33,4693","41,2341","43,0009","33,3565","","-19,64%"
"01/09/2024","41,6473","35,9623","42,0035","34,7654","","17,01%"
"01/08/2024","35,5918","37,0991","40,4145","34,0602","","-3,36%"
"01/07/2024","36,8278","46,5412","46,6859","36,0319","","-21,63%"
"01/06/2024","46,9934","49,7787","57,4707","46,8848","","-1,18%"
"01/05/2024","47,5544","42,0582","58,0322","41,4883","","11,56%"
"01/04/2024","42,6280","41,0905","45,1948","40,4737","","1,92%"
"01/03/2024","41,8260","47,1877","51,0310","40,0229","","-12,20%"
"01/02/2024","47,6385","54,7767","55,2876","41,5650","","-11,21%"
"01/01/2024","53,6525","62,1858","71,2557","52,0685","","-9,76%"
"01/12/2023","59,4521","66,6666","66,6666","53,7441","","-10,44%"
"01/11/2023","66,3823","88,9126","89,9076","66,3823","","-26,51%"
"01/10/2023","90,3340","77,5103","92,2565","77,5103","","13,00%"
"01/09/2023","79,9393","84,9065","84,9065","77,5103","","-6,93%"
"01/08/2023","85,8890","82,3330","95,0739","79,6636","","1,39%"
"01/07/2023","84,7129","86,8999","88,3471","80,5319","","-5,05%"
"01/06/2023","89,2155","72,1105","92,2387","72,1105","","17,82%"
"01/05/2023","75,7194","83,4718","90,7229","75,7194","","-12,10%"
"01/04/2023","86,1450","83,7278","90,7229","80,2941","","-2,64%"
"01/03/2023","88,4792","117,5065","125,4121","84,0073","","-22,60%"
"01/02/2023","114,3123","108,5759","114,3123","92,4720","","-3,19%"
"01/01/2023","118,0785","160,1802","166,2953","117,7705","","-34,60%"
"01/12/2022","180,5492","263,6156","267,0843","180,5492","","-33,41%"
"01/11/2022","271,1274","237,8722","301,5656","237,8722","","4,89%"
"01/10/2022","258,4904","272,5792","293,7283","225,1179","","-9,32%"
"01/09/2022","285,0496","393,0701","393,0701","284,7968","","-26,37%"
"01/08/2022","387,1298","351,7549","409,0794","322,3786","","10,78%"
"01/07/2022","349,4617","242,5720","374,7721","232,8046","","52,61%"
"01/06/2022","228,9826","368,1887","394,6935","228,9826","","-33,60%"
"01/05/2022","344,8593","320,3445","380,7637","300,8681","","10,74%"
"01/04/2022","311,4108","247,6927","340,4983","247,3463","","27,46%"
"01/03/2022","244,3151","199,1068","244,3151","197,5046","","27,65%"
"01/02/2022","191,3989","206,0837","238,6164","171,9126","","-9,47%"
"01/01/2022","211,4191","159,5403","211,4191","155,3761","","37,03%"
"01/12/2021","154,2917","178,2500","178,2500","148,9997","","-19,30%"
"01/11/2021","191,1855","222,0800","243,8903","191,1855","","-17,40%"
"01/10/2021","231,4571","245,8071","276,1228","223,7963","","-9,82%"
