"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/04/2025","229,69","230,46","234,88","220,24","","-0,28%"
"01/03/2025","230,34","233,64","235,05","225,01","","-1,07%"
"01/02/2025","232,84","238,78","249,05","232,67","","-3,12%"
"01/01/2025","240,34","233,07","248,18","227,31","0,02K","3,12%"
"01/12/2024","233,07","228,91","233,19","218,43","0,02K","1,48%"
"01/11/2024","229,66","233,20","242,26","226,36","0,01K","-0,50%"
"01/10/2024","230,83","247,69","251,47","227,11","","-7,47%"
"01/09/2024","249,46","235,54","252,47","235,01","","5,70%"
"01/08/2024","236,01","241,09","245,87","225,39","","-2,20%"
"01/07/2024","241,32","260,91","267,46","239,61","","-7,38%"
"01/06/2024","260,56","275,62","277,64","259,67","","-6,21%"
"01/05/2024","277,81","267,15","290,09","266,57","","3,61%"
"01/04/2024","268,13","279,16","280,04","264,84","","-3,45%"
"01/03/2024","277,71","266,81","284,76","265,41","","4,45%"
"01/02/2024","265,88","283,57","286,44","263,08","","-7,16%"
"01/01/2024","286,38","304,13","304,13","278,30","","-5,84%"
"01/12/2023","304,13","317,44","318,96","303,90","","-4,67%"
"01/11/2023","319,04","310,31","332,29","310,01","","2,46%"
"01/10/2023","311,38","305,82","316,78","301,85","","1,30%"
"01/09/2023","307,38","331,91","333,78","307,02","","-6,85%"
"01/08/2023","329,99","323,72","339,57","309,19","","2,78%"
"01/07/2023","321,07","329,68","345,78","317,15","","-0,86%"
"01/06/2023","323,84","276,55","332,10","276,18","","18,09%"
"01/05/2023","274,23","298,70","305,19","268,11","","-8,42%"
"01/04/2023","299,44","313,47","316,69","294,75","","-3,87%"
"01/03/2023","311,51","308,46","318,34","290,87","","1,79%"
"01/02/2023","306,02","316,39","320,66","305,87","","-3,40%"
"01/01/2023","316,81","313,92","318,92","301,77","","0,92%"
"01/12/2022","313,92","303,30","316,65","294,57","","3,38%"
"01/11/2022","303,66","294,57","305,47","290,74","","3,52%"
"01/10/2022","293,33","286,12","293,38","281,22","","3,20%"
"01/09/2022","284,24","296,95","314,18","284,03","","-4,06%"
"01/08/2022","296,27","302,67","309,13","282,47","","-3,13%"
"01/07/2022","305,85","300,80","310,07","268,78","","0,72%"
"01/06/2022","303,66","316,10","331,85","291,48","","-3,52%"
"01/05/2022","314,75","312,46","327,09","295,07","","-0,09%"
"01/04/2022","315,03","300,81","323,44","292,93","","5,05%"
"01/03/2022","299,88","308,45","321,70","299,00","","-1,13%"
"01/02/2022","303,31","276,24","325,92","275,73","","9,61%"
"01/01/2022","276,71","251,83","277,64","249,23","","11,29%"
"01/12/2021","248,63","228,94","256,98","227,16","","9,38%"
"01/11/2021","227,30","232,95","240,75","220,63","","-2,58%"
"01/10/2021","233,32","235,99","237,93","223,27","","-1,42%"
"01/09/2021","236,70","242,92","246,35","235,42","","-2,82%"
"01/08/2021","243,57","253,75","260,02","240,80","","-4,21%"
"01/07/2021","254,27","261,43","268,17","245,08","","-3,56%"
"01/06/2021","263,64","272,32","284,30","233,78","","-2,19%"
"01/05/2021","269,55","273,25","293,55","262,37","","-0,24%"
"01/04/2021","270,21","252,68","277,30","242,11","","7,18%"
"01/03/2021","252,11","248,82","255,09","239,39","","2,31%"
"01/02/2021","246,41","241,96","253,69","235,18","","2,62%"
"01/01/2021","240,12","234,64","251,55","227,54","","4,50%"
"01/12/2020","229,78","206,13","231,22","201,15","","11,69%"
"01/11/2020","205,73","184,38","210,93","183,99","","10,63%"
"01/10/2020","185,97","181,73","191,65","178,52","","3,11%"
"01/09/2020","180,37","167,24","184,42","166,71","","7,34%"
"01/08/2020","168,03","158,34","170,37","152,52","","6,83%"
"01/07/2020","157,28","155,83","160,76","153,58","","1,16%"
"01/06/2020","155,48","150,77","156,27","149,03","","3,49%"
"01/05/2020","150,23","152,16","153,90","148,05","","-1,70%"
"01/04/2020","152,83","158,85","158,85","146,26","","-4,31%"
"01/03/2020","159,71","162,14","164,44","147,99","","-0,76%"
"01/02/2020","160,93","159,56","164,04","158,40","","0,97%"
"01/01/2020","159,38","174,54","175,50","159,33","","-8,69%"
"01/12/2019","174,54","163,74","174,58","161,05","","7,26%"
"01/11/2019","162,72","173,25","174,88","162,58","","-5,95%"
"01/10/2019","173,02","170,90","177,98","170,67","","1,32%"
"01/09/2019","170,76","163,27","170,90","160,39","","4,26%"
"01/08/2019","163,79","166,09","168,92","160,68","","-1,42%"
"01/07/2019","166,14","175,09","176,27","165,91","","-4,50%"
"01/06/2019","173,96","171,71","178,16","164,97","","1,95%"
"01/05/2019","170,64","166,31","173,56","153,82","","2,78%"
"01/04/2019","166,02","174,91","178,96","165,49","","-4,81%"
"01/03/2019","174,42","180,04","182,36","174,32","","-2,86%"
"01/02/2019","179,55","184,64","186,49","178,91","","-2,07%"
"01/01/2019","183,34","179,28","185,79","178,53","","2,26%"
"01/12/2018","179,28","184,94","188,54","176,38","","-1,38%"
"01/11/2018","181,79","172,04","182,91","171,94","","5,05%"
