"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/04/2025","113,55","119,59","124,47","113,30","","-5,05%"
"01/03/2025","119,59","117,43","127,39","113,12","","1,84%"
"01/02/2025","117,43","113,55","126,69","111,37","","3,42%"
"01/01/2025","113,55","113,02","116,95","103,10","0,02K","0,47%"
"01/12/2024","113,02","123,70","128,45","111,73","0,02K","-8,63%"
"01/11/2024","123,70","133,44","134,79","122,41","0,01K","-7,30%"
"01/10/2024","133,44","131,85","137,60","126,51","","1,20%"
"01/09/2024","131,85","115,75","138,66","110,13","","13,91%"
"01/08/2024","115,75","113,12","119,21","104,64","","2,32%"
"01/07/2024","113,12","121,24","124,11","106,67","","-6,70%"
"01/06/2024","121,24","109,10","122,20","108,56","","11,13%"
"01/05/2024","109,10","115,72","119,23","107,13","","-5,72%"
"01/04/2024","115,72","132,06","134,35","113,15","","-12,37%"
"01/03/2024","132,06","127,19","132,41","120,39","","3,83%"
"01/02/2024","127,19","135,20","138,84","126,31","","-7,33%"
"01/01/2024","137,25","117,05","139,98","117,05","","17,25%"
"01/12/2023","117,05","148,11","148,68","113,93","","-20,97%"
"01/11/2023","148,11","154,08","160,05","147,31","","-3,88%"
"01/10/2023","154,08","150,61","159,26","144,01","","2,30%"
"01/09/2023","150,61","143,93","158,52","143,93","","4,64%"
"01/08/2023","143,93","138,47","148,75","132,56","","3,94%"
"01/07/2023","138,47","130,89","145,31","130,83","","5,79%"
"01/06/2023","130,89","141,97","150,36","125,67","","-7,80%"
"01/05/2023","141,97","149,27","151,48","139,47","","-4,90%"
"01/04/2023","149,27","122,71","151,94","122,43","","21,65%"
"01/03/2023","122,71","110,69","123,32","110,52","","10,86%"
"01/02/2023","110,69","112,09","112,89","105,60","","-1,25%"
"01/01/2023","112,09","103,23","112,35","97,51","","8,58%"
"01/12/2022","103,23","101,12","109,11","99,27","","2,09%"
"01/11/2022","101,12","92,57","105,45","92,57","","9,24%"
"01/10/2022","92,57","91,08","97,57","89,43","","1,64%"
"01/09/2022","91,08","90,44","93,75","88,55","","0,70%"
"01/08/2022","90,44","88,67","94,53","86,95","","2,00%"
"01/07/2022","88,67","93,52","99,03","87,56","","-5,19%"
"01/06/2022","93,52","99,17","101,01","91,65","","-5,69%"
"01/05/2022","99,17","97,89","103,41","93,60","","1,31%"
