"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/04/2025","4,0837","4,0441","4,1176","3,9217","","0,93%"
"01/03/2025","4,0460","4,2400","4,3323","3,9009","","-3,37%"
"01/02/2025","4,1873","4,2704","4,6845","4,1854","","-2,91%"
"01/01/2025","4,3128","4,2511","4,3918","4,0546","0,02K","1,45%"
"01/12/2024","4,2511","4,2029","4,3879","4,0815","0,02K","0,64%"
"01/11/2024","4,2241","4,5453","4,5889","4,1856","0,01K","-6,54%"
"01/10/2024","4,5196","4,5909","4,8880","4,4206","","-2,31%"
"01/09/2024","4,6266","4,3651","4,7434","4,3136","","5,89%"
"01/08/2024","4,3691","4,3715","4,5568","4,1275","","0,23%"
"01/07/2024","4,3591","4,7704","4,8944","4,2640","","-8,06%"
"01/06/2024","4,7415","5,8565","5,9569","4,6154","","-18,17%"
"01/05/2024","5,7946","5,1583","6,1490","5,0708","","12,48%"
"01/04/2024","5,1519","4,8941","5,4082","4,6993","","4,94%"
"01/03/2024","4,9094","5,0277","5,0540","4,5895","","-2,78%"
"01/02/2024","5,0496","5,2582","5,3837","4,8524","","-3,69%"
"01/01/2024","5,2428","5,5313","5,5313","5,0490","","-5,22%"
"01/12/2023","5,5313","5,2384","5,7118","5,1878","","5,02%"
"01/11/2023","5,2670","5,1025","5,4881","4,8993","","3,13%"
"01/10/2023","5,1071","5,0084","5,5455","5,0015","","2,73%"
"01/09/2023","4,9716","5,5684","5,6488","4,9579","","-10,05%"
"01/08/2023","5,5271","6,4165","6,5287","5,4537","","-13,05%"
"01/07/2023","6,3568","6,1682","7,3904","5,9391","","2,27%"
"01/06/2023","6,2160","5,8297","7,3546","5,8272","","7,52%"
"01/05/2023","5,7810","6,1118","6,5034","5,5767","","-6,23%"
"01/04/2023","6,1653","6,8883","7,0067","6,0753","","-9,75%"
"01/03/2023","6,8315","7,0240","7,1449","6,4565","","-1,88%"
"01/02/2023","6,9623","7,6023","7,9689","6,9376","","-8,54%"
"01/01/2023","7,6123","7,9198","7,9423","7,1248","","-3,88%"
"01/12/2022","7,9198","7,8948","7,9873","7,2373","","-0,44%"
"01/11/2022","7,9548","8,9698","9,2594","7,7348","","-12,04%"
"01/10/2022","9,0441","9,5541","9,7335","8,4342","","-4,26%"
"01/09/2022","9,4465","8,5290","9,6925","8,1138","","10,82%"
"01/08/2022","8,5239","8,4383","8,6930","7,6192","","0,67%"
"01/07/2022","8,4671","9,2795","9,6359","7,9456","","-8,63%"
"01/06/2022","9,2664","11,6440","11,7687","9,2507","","-19,74%"
"01/05/2022","11,5458","11,0123","13,6213","10,9804","","3,01%"
"01/04/2022","11,2087","10,8164","12,1376","10,5091","","4,24%"
"01/03/2022","10,7523","10,1350","14,4370","10,0335","","7,71%"
"01/02/2022","9,9827","8,2058","10,1243","7,9795","","21,69%"
"01/01/2022","8,2031","8,3729","8,9602","7,9257","","-1,23%"
"01/12/2021","8,3055","8,5426","8,8766","8,0954","","-2,10%"
"01/11/2021","8,4833","8,4971","9,4262","8,3576","","0,29%"
"01/10/2021","8,4588","7,9799","8,5354","7,8020","","6,51%"
"01/09/2021","7,9416","7,8896","8,0237","7,4353","","0,45%"
"01/08/2021","7,9060","7,9040","8,6066","7,7391","","0,84%"
"01/07/2021","7,8399","7,5113","7,9987","6,7900","","3,57%"
"01/06/2021","7,5698","7,6358","7,8999","7,0490","","1,49%"
"01/05/2021","7,4587","8,4170","8,6222","7,1945","","-9,70%"
"01/04/2021","8,2597","7,0288","8,6475","6,7861","","18,42%"
"01/03/2021","6,9752","7,5000","7,5480","6,6958","","-6,40%"
"01/02/2021","7,4520","7,6038","7,7652","7,1177","","-1,15%"
"01/01/2021","7,5384","7,3536","7,8795","7,1461","","3,51%"
"01/12/2020","7,2826","6,6771","7,3138","6,4327","","9,49%"
"01/11/2020","6,6515","6,8551","7,2093","6,6459","","-3,54%"
"01/10/2020","6,8954","6,6851","7,3447","6,4662","","3,55%"
"01/09/2020","6,6592","6,3539","6,7600","6,1436","","4,66%"
"01/08/2020","6,3625","6,1885","6,4547","5,7266","","2,13%"
"01/07/2020","6,2296","5,7810","6,4670","5,7224","","8,03%"
"01/06/2020","5,7664","6,1431","6,2706","5,5231","","-6,63%"
"01/05/2020","6,1757","6,1668","6,2468","5,8585","","-0,67%"
"01/04/2020","6,2172","6,7651","6,7651","6,0126","","-7,86%"
"01/03/2020","6,7473","6,2224","6,9609","5,8368","","8,33%"
"01/02/2020","6,2283","6,5096","6,7414","6,0800","","-5,23%"
"01/01/2020","6,5719","6,6313","7,0289","6,4740","","-0,90%"
